system,english_name,chinese_name
md,3 Ninjas Kick Back (U),忍杀三人组(美)
md,6-Pak (U),
md,16 Tiles Mahjong (Unl),十六张麻将(Unl)
md,16 Ton (J) (Sega Channel),世嘉频道(日)
md,36 Great Holes Starring Fred Couples (32X) (E),高尔夫球(32X)(欧)
md,36 Great Holes Starring Fred Couples (32X) (JU),高尔夫球(32X)(日美)
md,688 Attack Sub (U),猎杀潜艇(美)
md,777 Casino (Unl),
md,EA Hockey League (U),EA曲棍球联赛(美)
md,EA Sports Double Header (E),EA赛车联赛(欧)
md,Earnest Evans (U),认真爱文(美)
md,Earthworm Jim (E),蚯蚓吉姆(欧)
md,Earthworm Jim (U),蚯蚓吉姆(美)
md,Earthworm Jim 2 (E) [x],蚯蚓吉姆2(欧)
md,Earthworm Jim 2 (U),蚯蚓吉姆2(美)
md,Ecco - The Tides of Time (E) (Beta),小海豚-退潮后的游戏时间(测试版)(欧)
md,Ecco - The Tides of Time (E),小海豚-退潮后的游戏时间(欧)
md,Ecco - The Tides of Time (U) (Beta) [a1],小海豚-退潮后的游戏时间[a1](测试版)(美)
md,Ecco - The Tides of Time (U) (Beta),小海豚-退潮后的游戏时间(测试版)(美)
md,Ecco - The Tides of Time (U),小海豚-退潮后的游戏时间(美)
md,Ecco (J),小海豚(日)
md,Ecco (U),小海豚(美)
md,Ecco Jr. (JUE) (Feb 1995),JR海豚(日美欧)
md,Ecco Jr. (JUE) (Mar 1995),JR海豚(日美欧)
md,Ecco the Dolphin (32X) (CinePak Demo) (JUE),海豚(32X)(日美欧)
md,El Viento (J),EL维恩特(日)
md,El Viento (U),EL维恩特(美)
md,Elemental Master (J),元素支配者(日)
md,Elemental Master (U),元素支配者(美)
md,Eliminate Down (J),空战(日)
md,Elitserien 95 (SW),曲棍球赛季95(SW)
md,Elitserien 96 (SW),曲棍球赛季96(SW)
md,Escape From Mars Starring Taz (E),火星逃脱者(欧)
md,Escape From Mars Starring Taz (U),火星逃脱者(美)
md,ESPN Baseball Tonight (U),夜色棒球(美)
md,ESPN National Hockey Night (Beta),夜色曲棍球(测试版)
md,ESPN National Hockey Night (U),夜色曲棍球(美)
md,ESPN SpeedWorld (U),极速世界(美)
md,ESPN Sunday Night Football (U),夜色足球(美)
md,ESWAT Cyber Police - City Under Siege (U),武装行警(美)
md,ESWAT Cyber Police - Enhanced Special Weapons and Tactics (J),武装行警(日)
md,Eternal Champions (Beta),永恒之冠(测试版)
md,Eternal Champions (E),永恒之冠(欧)
md,Eternal Champions (J),永恒之冠(日)
md,Eternal Champions (U),永恒之冠(美)
md,Europe Sensen (J),征战欧洲(日)
md,European Club Soccer (E),欧洲足球俱乐部(欧)
md,Evander Holyfield's Real Deal Boxing (U),真实拳击(美)
md,Exile - Toki no Hazama he (J),流放-时间之夹缝(日)
md,Exile (U),流放(美)
md,Ex-Mutants (U),EX-异种(美)
md,Exodus (U) (Unl),依克斯达斯(Unl)(美)
md,Exo-Squad (U) (T-132026),空中战警(T-132026)(美)
md,Exo-Squad (U) (T-132086),空中战警(T-132086)(美)
md,Ex-Ranza (Beta),鸟人战机(测试版)
md,Ex-Ranza (J),鸟人战机(日)
md,F1 Circus MD (J),F1赛车(日)
md,F1 World Championship (E),F1世界锦标赛(欧)
md,F1 World Championship (U),F1世界锦标赛(美)
md,F1 World Championship Edition (Beta) [a1],F1世界锦标赛[a1](测试版)
md,F1 World Championship Edition (Beta),F1世界锦标赛(测试版)
md,F1 World Championship Edition (E),F1世界锦标赛(欧)
md,F-117 Night Storm (JUE),F117死亡龙卷(日美欧)
md,F-117 Stealth - Operation Night Storm (Beta),F117死亡龙卷(测试版)
md,F-15 Strike Eagle II (Beta),F15猎鹰行动(测试版)
md,F-15 Strike Eagle II (E),F15猎鹰行动(欧)
md,F-15 Strike Eagle II (U),F15猎鹰行动(美)
md,F-22 Interceptor (Beta),F22拦截机(测试版)
md,F-22 Interceptor (U) (Jun 1992),F22拦截机(6月1992)(美)
md,F-22 Interceptor (U) (Sep 1991) [a1][c],F22拦截机(9月1991)[a1][c](美)
md,F-22 Interceptor (U) (Sep 1991),F22拦截机(9月1991)(美)
md,"Faery Tale Adventure, The (U)",幻境传说(美)
md,Family Feud (U),家庭竞赛(美)
md,Fantasia (E) (r00),
md,Fantasia (J) (r01),
md,Fantasia (U) (r00),
md,Fantastic Dizzy (UE) (M5) [a1],鸡蛋冒险(M5)[a1](美欧)
md,Fantastic Dizzy (UE) (M5),鸡蛋冒险(M5)(美欧)
md,Fastest 1 (J),大赛车(日)
md,Fatal Fury - King of Fighters (E),饿狼传说1(欧)
md,Fatal Fury - King of Fighters (U),饿狼传说1(美)
md,Fatal Fury 2 (UE),饿狼传说2(美欧)
md,Fatal Labyrinth (JUE),致命迷宫(日美欧)
md,Fatal Rewind (U),机械战狗(欧)
md,Fatman (J),肥人(日)
md,Fengshen Yingjiechuan (Ch) (Unl) [x],封神英杰传(中)
md,Ferias Frustradas do Pica-Pau (B),火烈鸟(B)
md,Ferrari Grand Prix Challenge (Beta),长途汽车挑战赛(测试版)
md,Ferrari Grand Prix Challenge (U),长途汽车挑战赛(美)
md,Fever Pitch Soccer (E) (M5),
md,Fido Dido (U),七喜小子(美)
md,FIFA International Soccer (JUE) (M4),FIFA国际足球(日美欧)
md,FIFA International Soccer 96 (32X) (JUE),FIFA国际足球96(32X)(日美欧)
md,FIFA Soccer 95 (JUE) (M4),FIFA足球95(M4)(日美欧)
