system,game_name,ch_name,id
mdcd,3 Ninjas Kick Back (USA),小鬼当家又难缠 （美版）,MDCD#1
mdcd,A-Rank Thunder - Tanjou-hen (Japan),A级雷电 - 诞生篇 （日版）,MDCD#2
mdcd,A-X-101 (USA) (RE),A-X-101 （美版） (RE),MDCD#3
mdcd,"Adventures of Batman and Robin, The (Europe)",蝙蝠侠与罗宾大冒险 （欧版）,MDCD#4
mdcd,"Adventures of Batman and Robin, The (USA)",蝙蝠侠与罗宾大冒险 （美版）,MDCD#5
mdcd,"Adventures of Willy Beamish, The (USA) (Alt)",威利·比米什的冒险 （美版） (ALT),MDCD#6
mdcd,"Adventures of Willy Beamish, The (USA)",威利·比米什的冒险 （美版）,MDCD#7
mdcd,After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan),世界末日之后 外传 - 魔獣闘将伝 （日版）,MDCD#8
mdcd,After Burner III (Europe),冲破火网 III （欧版）,MDCD#9
mdcd,After Burner III (Japan),冲破火网 III （日版）,MDCD#10
mdcd,After Burner III (USA),冲破火网 III （美版）,MDCD#11
mdcd,AH3 - Thunderstrike (USA),AH3 - 闪电特攻 （美版）,MDCD#12
mdcd,Aisle Lord (Japan),走道领主 （日版）,MDCD#13
mdcd,Alshark (Japan),星际怒涛 （日版）,MDCD#14
mdcd,"Amazing Spider-Man vs. The Kingpin, The (Europe)",神奇蜘蛛侠大战金并 （欧版）,MDCD#15
mdcd,"Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)",神奇蜘蛛侠大战金并 （美版） (REV 1),MDCD#16
mdcd,"Amazing Spider-Man vs. The Kingpin, The (USA)",神奇蜘蛛侠大战金并 （美版）,MDCD#17
mdcd,Android Assault - The Revenge of Bari-Arm (USA),机甲袭击 （美版）,MDCD#18
mdcd,"Animals!, The (Europe)",动物们 （欧版）,MDCD#19
mdcd,"Animals!, The (USA)",动物们 （美版）,MDCD#20
mdcd,Annett Futatabi (Japan),アネット再び （日版）,MDCD#21
mdcd,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿 - 元朝秘史 （日版）,MDCD#22
mdcd,"Arcus I, II, III (Japan)","弓 I, II, III （日版）",MDCD#23
mdcd,Arslan Senki (Japan),亚尔斯兰战记 （日版）,MDCD#24
mdcd,AX-101 (Japan),AX-101 （日版）,MDCD#25
mdcd,Bakuden - The Unbalanced Zone (Japan),爆伝 - 不平衡地区 （日版）,MDCD#26
mdcd,Bari-Arm (Japan),BARI-ARM （日版）,MDCD#27
mdcd,Batman Returns (Europe) (Alt),蝙蝠侠 回归 （欧版） (ALT),MDCD#28
