system,game_name,ch_name,id,size
nds,'Chou' Kowai Hanashi DS - Ao no Shou (Japan),超鬼故事DS-青之章（日版）,NDS#1,68.72MB
nds,"'Josei no Hinkaku' Juku DS - Tsuyoku, Yasashiku, Utsukushiku - Bando Mariko Shinsho (Japan)",女性品格补习班 DS（日版）,NDS#2,41.24MB
nds,007 - Blood Stone (Canada),詹姆斯邦德007-血石（加拿大版）,NDS#3,31.31MB
nds,007 - Blood Stone (France),詹姆斯邦德007-血石（法国版）,NDS#4,31.31MB
nds,007 - Blood Stone (Germany),詹姆斯邦德007-血石（德国版）,NDS#5,31.47MB
nds,007 - Blood Stone (United Kingdom),詹姆斯邦德007-血石(United Kingdom),NDS#6,31.42MB
nds,007 - Blood Stone (USA),詹姆斯邦德007-血石（美版）,NDS#7,31.42MB
nds,007 - Ein Quantum Trost (Germany),007-量子危机（德国版）,NDS#8,19.68MB
nds,"007 - Quantum of Solace (Europe) (En,Fr)","詹姆斯邦德007-量子危机（欧版） (En,Fr)",NDS#9,20.51MB
nds,"007 - Quantum of Solace (Europe) (Es,It)","詹姆斯邦德007-量子危机（欧版） (Es,It)",NDS#10,20.52MB
nds,007 - Quantum of Solace (Korea) [b],詹姆斯邦德007-量子危机（韩国版） [b],NDS#11,19.79MB
nds,"007 - Quantum of Solace (USA) (En,Fr)","詹姆斯邦德007-量子危机（美版） (En,Fr)",NDS#12,20.53MB
nds,1 contre 100 (France),1比100（法国版）,NDS#13,1.69MB
nds,1 gegen 100 (Germany),以一敌百（德国版）,NDS#14,1.76MB
nds,1 vs 100 (Europe) [b],以一敌百（欧版） [b],NDS#15,1.74MB
nds,1 vs 100 (USA),以一敌百（美版）,NDS#16,6.27MB
nds,1-nichi 10-pun de E ga Jouzu ni Kakeru DS (Japan),每天10分钟提高绘画水平（日版）,NDS#17,14.31MB
nds,10 voor Taal (Netherlands),10 语言（荷兰版）,NDS#18,3.44MB
nds,"100 All-Time Favorites (USA) (En,Fr,Es)","100 个经典桌面游戏（美版） (En,Fr,Es)",NDS#19,15.86MB
nds,100 Classic Book Collection (Europe),100部经典名著合集（欧版）,NDS#20,42.43MB
nds,100 Classic Books (USA),100部经典名著合集（美版）,NDS#21,46.93MB
nds,"100 Classic Games (Europe) (En,Fr,De,Es,It) (Rev 1)","100个经典小游戏（欧版） (En,Fr,De,Es,It) （修正版 1）",NDS#22,5.10MB
nds,"100 Classic Games (Europe) (En,Fr,De,Es,Nl)","100个经典小游戏（欧版） (En,Fr,De,Es,Nl)",NDS#23,5.09MB
nds,100 Livres Classiques (France),古典书籍图书馆（法国版）,NDS#24,39.06MB
nds,1000 Bornes - Coups-Fourres et Courses Folles! (France),1000边界（法国版）,NDS#25,1.83MB
nds,"1000 Cooking Recipes from Elle a Table (Europe) (En,Fr,De,Es,It) (NDSi Enhanced)","1000烹饪食谱来自艾丽餐桌（欧版） (En,Fr,De,Es,It) (NDSi Enhanced)",NDS#26,27.72MB
nds,1001 Crosswords (Europe),,NDS#27,1.14MB
nds,1001 Touch Games (Europe),,NDS#28,21.09MB
nds,"1001 Touch Games (Europe) (En,Fr,It,Nl)",,NDS#29,22.40MB
nds,1001 Touch Games (Germany),,NDS#30,21.17MB
nds,1001 Touch Games (USA),,NDS#31,21.76MB
nds,"101 Dino Pets (Europe) (En,Fr,De,It)","101恐龙宠物（欧版） (En,Fr,De,It)",NDS#32,3.61MB
nds,"101 in 1 Explosive Megamix (Europe) (En,Fr,De,Es,It,Nl)","101合1小游戏（欧版） (En,Fr,De,Es,It,Nl)",NDS#33,7.28MB
