english_name,chinese_name,source_id,extra_json
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)","18轮-美国专业卡车司机  （欧版） (En,Fr,De,Es)",DC#1,
18 Wheeler - American Pro Trucker (Japan),18轮-美国专业卡车司机  （日版）,DC#2,
18 Wheeler - American Pro Trucker (USA),18轮-美国专业卡车司机  （美版）,DC#3,
21 - Two One (Japan),21 - 二一  （日版）,DC#4,
"4 Wheel Thunder (Europe) (En,Fr)","四轮车迅雷越野赛  （欧版） (En,Fr)",DC#5,
4 Wheel Thunder (USA),四轮车迅雷越野赛  （美版）,DC#6,
4x4 Evo (USA),4×4方程式赛车  （美版）,DC#7,
"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)","90分钟 - 世嘉冠军足球赛  （欧版） (En,Fr,De,Es,It)",DC#8,
Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan),大战略 - 欧洲风暴 - 德国闪电战  （日版）,DC#9,
Advanced Daisenryaku 2001 (Japan),大战略 2001  （日版）,DC#10,
Aero Dancing - Todoroki Taichou no Himitsu Disc (Japan),飞空之舞 - 轟隊長のひみつディスク  （日版）,DC#11,
Aero Dancing F (Japan),飞空之舞 F （日版）,DC#12,
Aero Dancing F (Japan) (Rev A),飞空之舞 F （日版） (Rev A),DC#13,
Aero Dancing F (Japan) (Taikenban),飞空之舞 F （日版） （体验版）,DC#14,
Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),飞空之舞 F - 轰翼的首次飞行  （日版）,DC#15,
Aero Dancing featuring Blue Impulse (Japan),飞空之舞 蓝色冲击波  （日版）,DC#16,
Aero Dancing i (Japan),飞空之舞 i  （日版）,DC#17,
Aero Dancing i - Jikai-saku made Matemasen (Japan),飞空之舞 i - Jikai-saku made Matemasen  （日版）,DC#18,
"AeroWings (Europe) (En,Fr,De)","蓝天勇者 （欧版） (En,Fr,De)",DC#19,
AeroWings (USA),蓝天勇者 （美版）,DC#20,
"AeroWings 2 - Airstrike (Europe) (En,De)","蓝天勇者 2 - 空中打击  （欧版） (En,De)",DC#21,
AeroWings 2 - Airstrike (USA),蓝天勇者 2 - 空中打击  （美版）,DC#22,
After... - Wasureenu Kizuna (Japan),今后...无法忘却的羁绊  （日版）,DC#23,
Aikagi - Hidamari to Kanojo no Heyagi (Japan),爱之钥匙 - ～ひだまりと彼女の部屋着～  （日版）,DC#24,
Air (Japan) (Rev A),青空 （日版） (Rev A),DC#25,
AirForce Delta (Japan),空中力量 （日版）,DC#26,
AirForce Delta (USA),空中力量 （美版）,DC#27,
Akihabara Dennou-gumi Pata Pies! (Japan),秋叶原电脑组  （日版）,DC#28,
Alienfront Online (USA),异形前线  （美版）,DC#29,
Alone in the Dark - The New Nightmare (Europe) (Disc 1),鬼屋魔影4  （欧版） (Disc 1),DC#30,
