english_name,chinese_name,source_id,extra_json
3 Ninjas Kick Back (U),忍杀三人组(美),,
6-Pak (U),,,
16 Tiles Mahjong (Unl),十六张麻将(Unl),,
16 Ton (J) (Sega Channel),世嘉频道(日),,
36 Great Holes Starring Fred Couples (32X) (E),高尔夫球(32X)(欧),,
36 Great Holes Starring Fred Couples (32X) (JU),高尔夫球(32X)(日美),,
688 Attack Sub (U),猎杀潜艇(美),,
777 Casino (Unl),,,
EA Hockey League (U),EA曲棍球联赛(美),,
EA Sports Double Header (E),EA赛车联赛(欧),,
Earnest Evans (U),认真爱文(美),,
Earthworm Jim (E),蚯蚓吉姆(欧),,
Earthworm Jim (U),蚯蚓吉姆(美),,
Earthworm Jim 2 (E) [x],蚯蚓吉姆2(欧),,
Earthworm Jim 2 (U),蚯蚓吉姆2(美),,
Ecco - The Tides of Time (E) (Beta),小海豚-退潮后的游戏时间(测试版)(欧),,
Ecco - The Tides of Time (E),小海豚-退潮后的游戏时间(欧),,
Ecco - The Tides of Time (U) (Beta) [a1],小海豚-退潮后的游戏时间[a1](测试版)(美),,
Ecco - The Tides of Time (U) (Beta),小海豚-退潮后的游戏时间(测试版)(美),,
Ecco - The Tides of Time (U),小海豚-退潮后的游戏时间(美),,
Ecco (J),小海豚(日),,
Ecco (U),小海豚(美),,
Ecco Jr. (JUE) (Feb 1995),JR海豚(日美欧),,
Ecco Jr. (JUE) (Mar 1995),JR海豚(日美欧),,
Ecco the Dolphin (32X) (CinePak Demo) (JUE),海豚(32X)(日美欧),,
El Viento (J),EL维恩特(日),,
El Viento (U),EL维恩特(美),,
Elemental Master (J),元素支配者(日),,
Elemental Master (U),元素支配者(美),,
Eliminate Down (J),空战(日),,
Elitserien 95 (SW),曲棍球赛季95(SW),,
Elitserien 96 (SW),曲棍球赛季96(SW),,
Escape From Mars Starring Taz (E),火星逃脱者(欧),,
Escape From Mars Starring Taz (U),火星逃脱者(美),,
ESPN Baseball Tonight (U),夜色棒球(美),,
ESPN National Hockey Night (Beta),夜色曲棍球(测试版),,
ESPN National Hockey Night (U),夜色曲棍球(美),,
ESPN SpeedWorld (U),极速世界(美),,
ESPN Sunday Night Football (U),夜色足球(美),,
ESWAT Cyber Police - City Under Siege (U),武装行警(美),,
ESWAT Cyber Police - Enhanced Special Weapons and Tactics (J),武装行警(日),,
Eternal Champions (Beta),永恒之冠(测试版),,
Eternal Champions (E),永恒之冠(欧),,
Eternal Champions (J),永恒之冠(日),,
Eternal Champions (U),永恒之冠(美),,
Europe Sensen (J),征战欧洲(日),,
European Club Soccer (E),欧洲足球俱乐部(欧),,
Evander Holyfield's Real Deal Boxing (U),真实拳击(美),,
Exile - Toki no Hazama he (J),流放-时间之夹缝(日),,
Exile (U),流放(美),,
Ex-Mutants (U),EX-异种(美),,
Exodus (U) (Unl),依克斯达斯(Unl)(美),,
Exo-Squad (U) (T-132026),空中战警(T-132026)(美),,
Exo-Squad (U) (T-132086),空中战警(T-132086)(美),,
Ex-Ranza (Beta),鸟人战机(测试版),,
Ex-Ranza (J),鸟人战机(日),,
F1 Circus MD (J),F1赛车(日),,
F1 World Championship (E),F1世界锦标赛(欧),,
F1 World Championship (U),F1世界锦标赛(美),,
F1 World Championship Edition (Beta) [a1],F1世界锦标赛[a1](测试版),,
F1 World Championship Edition (Beta),F1世界锦标赛(测试版),,
F1 World Championship Edition (E),F1世界锦标赛(欧),,
F-117 Night Storm (JUE),F117死亡龙卷(日美欧),,
F-117 Stealth - Operation Night Storm (Beta),F117死亡龙卷(测试版),,
F-15 Strike Eagle II (Beta),F15猎鹰行动(测试版),,
F-15 Strike Eagle II (E),F15猎鹰行动(欧),,
F-15 Strike Eagle II (U),F15猎鹰行动(美),,
F-22 Interceptor (Beta),F22拦截机(测试版),,
F-22 Interceptor (U) (Jun 1992),F22拦截机(6月1992)(美),,
F-22 Interceptor (U) (Sep 1991) [a1][c],F22拦截机(9月1991)[a1][c](美),,
F-22 Interceptor (U) (Sep 1991),F22拦截机(9月1991)(美),,
"Faery Tale Adventure, The (U)",幻境传说(美),,
Family Feud (U),家庭竞赛(美),,
Fantasia (E) (r00),,,
Fantasia (J) (r01),,,
Fantasia (U) (r00),,,
Fantastic Dizzy (UE) (M5) [a1],鸡蛋冒险(M5)[a1](美欧),,
Fantastic Dizzy (UE) (M5),鸡蛋冒险(M5)(美欧),,
Fastest 1 (J),大赛车(日),,
Fatal Fury - King of Fighters (E),饿狼传说1(欧),,
Fatal Fury - King of Fighters (U),饿狼传说1(美),,
Fatal Fury 2 (UE),饿狼传说2(美欧),,
Fatal Labyrinth (JUE),致命迷宫(日美欧),,
Fatal Rewind (U),机械战狗(欧),,
Fatman (J),肥人(日),,
Fengshen Yingjiechuan (Ch) (Unl) [x],封神英杰传(中),,
Ferias Frustradas do Pica-Pau (B),火烈鸟(B),,
Ferrari Grand Prix Challenge (Beta),长途汽车挑战赛(测试版),,
Ferrari Grand Prix Challenge (U),长途汽车挑战赛(美),,
Fever Pitch Soccer (E) (M5),,,
Fido Dido (U),七喜小子(美),,
FIFA International Soccer (JUE) (M4),FIFA国际足球(日美欧),,
FIFA International Soccer 96 (32X) (JUE),FIFA国际足球96(32X)(日美欧),,
FIFA Soccer 95 (JUE) (M4),FIFA足球95(M4)(日美欧),,
FIFA Soccer 96 (JUE) (M6),FIFA足球96(M6)(日美欧),,
FIFA Soccer 97 Gold Edition (UE) (M6),FIFA足球97黄金版(美欧),,
