english_name,chinese_name,source_id,extra_json
J-STARS Victory VS AR Appli,Jump全明星乱斗 AR (应用软件) [日文版],PCSG00312,"{""date"":""2014-03-19"",""developer"":""Bandai Namco Games"",""genre"":""混合|普通"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSG00312.jpg"",""language"":""日语"",""publisher"":""Spike Chunsoft"",""region"":""JP""}"
ModNation Racers: Road Trip,模组世界赛车：街头之旅 [英文版],PCSA00001,"{""date"":""2012-02-15"",""developer"":""Sony"",""genre"":""驾驶|竞速"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00001.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
MLB 12 The Show,美国职业棒球大联盟 12 [英文版],PCSA00002,"{""date"":""2012-03-06"",""developer"":""SCEA San Diego Studios"",""genre"":""运动|传统|棒球"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00002.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""date"":""2012-08-07"",""developer"":""Sony"",""genre"":""混合|节奏"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00003.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Escape Plan,逃脱计划 [英文版],PCSA00004,"{""date"":""2012-02-15"",""developer"":""Fun Bits"",""genre"":""混合|解谜"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00004.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Super Stardust Delta,超级星尘 三角洲 [英文版],PCSA00006,"{""date"":""2012-02-15"",""developer"":""Housemarque"",""genre"":""动作|射击"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00006.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Hustle Kings,台球王 [英文版],PCSA00007,"{""date"":""2012-02-21"",""developer"":""VooFoo Studios"",""genre"":""混合|室内"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00007.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Resistance: Burning Skies (ENG),抵抗：燃烧天空 [英文版],PCSA00008,"{""date"":""2012-05-29"",""developer"":""Nihilistic"",""genre"":""动作|射击|第一人称"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00008.jpg"",""language"":""英语|法语|西班牙语"",""publisher"":""Sony"",""region"":""US""}"
Hot Shots Golf: World Invitational,大众高尔夫 6 [英文版],PCSA00009,"{""date"":""2012-02-15"",""developer"":""Clap Hanz"",""genre"":""运动|传统|高尔夫"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00009.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
Little Deviants,捣蛋小精灵 [英文版],PCSA00010,"{""date"":""2012-02-15"",""developer"":""Bigbig Studios"",""genre"":""动作|平面|3D"",""img"":""https://data.yang2000ling.com/img/psv_pic_200/PCSA00010.jpg"",""language"":""英语"",""publisher"":""Sony"",""region"":""US""}"
