english_name,chinese_name,source_id,extra_json
2do Aru Koto wa Sando R (Japan),肥瘦大盗 2度归来  （日版）,SS#1,
2Tax Gold (Japan),两桶金  （日版）,SS#2,
3D Baseball (USA),3D棒球  （美版）,SS#3,
3D Baseball - The Majors (Japan),3D棒球 - THE MAJORS  （日版）,SS#4,
3D Lemmings (Europe),3D百战小旅鼠  （欧版）,SS#5,
3D Lemmings (Japan),3D百战小旅鼠  （日版）,SS#6,
3D Mission Shooting - Finalist (Japan),3D使命射击-入围  （日版）,SS#7,
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1),3X3只眼 - 吸精公主 S  （日版） （光碟 1）,SS#8,
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 2),3X3只眼 - 吸精公主 S  （日版） （光碟 2）,SS#9,
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 3) (Special CD-ROM),3X3只眼 - 吸精公主 S  （日版） （光碟 3） (Special CD-ROM),SS#10,
6 Inch My Darling (Japan),我亲爱的6英寸  （日版）,SS#11,
"Actua Golf (Europe) (En,Fr,De)","阿克托高尔夫  （欧版） (En,Fr,De)",SS#12,
Actua Golf (Japan),阿克托高尔夫  （日版）,SS#13,
Actua Soccer (Japan),真实足球  （日版）,SS#14,
Actua Soccer - Club Edition (Europe),真实足球 - 俱乐部版  （欧版）,SS#15,
Advanced V.G. (Japan),少女格斗战.  （日版）,SS#16,
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (2M),高级大战略 - 千年帝国的兴亡  （日版） (2M),SS#17,
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B) (22M),高级大战略 - 千年帝国的兴亡  （日版） （修正版 B） (22M),SS#18,
AI Igo (Japan),AI围棋  （日版）,SS#19,
Ai Iijima Interactive Video Clip - Good Island Cafe (Japan),饭岛爱 - GOOD ISLAND CAFE  （日版）,SS#20,
AI Shougi (Japan),AI将棋  （日版）,SS#21,
AI Shougi 2 (Japan),AI将棋 2  （日版）,SS#22,
Air Management '96 (Japan),航空大亨96  （日版）,SS#23,
Airs Adventure (Japan),空中冒险  （日版）,SS#24,
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M),恶魔城X：月下之夜想曲  （日版） (2M),SS#25,
Albert Odyssey - Legend of Eldean (USA),亚鲁巴战记 - 艾尔丹传奇  （美版）,SS#26,
