system,game_id,game_name,ch_name,img
pcecd,PCECD#1,1552 Tenka Tairan (Japan),1552天下大乱 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD1.jpg
pcecd,PCECD#2,3x3 Eyes - Sanjiyan Henjou (Japan),三只眼 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD2.jpg
pcecd,PCECD#3,3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1),三只眼 （日版） （修正版 1）,https://data.yang2000ling.com/img/pcecd_200/PCECD2.jpg
pcecd,PCECD#4,A.III. - A Ressha de Ikou III (Japan),A列车 3 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD4.jpg
pcecd,PCECD#5,"Addams Family, The (USA)",亚当斯一家 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD5.jpg
pcecd,PCECD#6,Advanced V.G. (Japan),少女格斗战 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD6.jpg
pcecd,PCECD#7,Adventure Quiz - Capcom World + Hatena no Daibouken (Japan),卡普空冒险问答 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD7.jpg
pcecd,PCECD#8,Ai Chou Aniki (Japan) (SADS),爱·超兄贵 （日版） (SADS),https://data.yang2000ling.com/img/pcecd_200/PCECD8.jpg
pcecd,PCECD#9,"Akumajou Dracula X - Chi no Rondo (Japan) (FABT, FACT)","恶魔城X 血之轮回 （日版） (FABT, FACT)",https://data.yang2000ling.com/img/pcecd_200/PCECD9.jpg
pcecd,PCECD#10,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FAAT),https://data.yang2000ling.com/img/pcecd_200/PCECD10.jpg
pcecd,PCECD#11,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD10.jpg
pcecd,PCECD#12,Alshark (Japan),星际怒涛 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD12.jpg
pcecd,PCECD#13,Ane-san (Japan),姐 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD13.jpg
pcecd,PCECD#14,Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),元朝秘史 苍狼与白鹿 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD14.jpg
pcecd,PCECD#15,Asuka 120% Maxima - Burning Fest. Maxima (Japan),鸟120%-燃烧的学园祭 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD15.jpg
