system,game_name,ch_name,date,id,img
pcfx,Amateur Teikyou CD-ROM (Japan) (NEC PC-FXGA),アマチュア提供ＣＤ‐ＲＯＭ （日版） (NEC PC-FXGA),,PCFX#1,https://data.yang2000ling.com/img/pcfx_200/PCFX.jpg
pcfx,"Langrisser FX, Der (Japan)",梦幻模拟战2  （日版）,1996-04-26,PCFX#2,https://data.yang2000ling.com/img/pcfx_200/PCFX2.jpg
pcfx,Battle Heat (Japan),战斗英雄  （日版）,1994-12-26,PCFX#3,https://data.yang2000ling.com/img/pcfx_200/PCFX3.jpg
pcfx,"Sotsugyou II FX - Neo Generation (Japan) (SABS, SACS)","卒业2-新生代  （日版） (SABS, SACS)",1994-12-23,PCFX#4,https://data.yang2000ling.com/img/pcfx_200/PCFX4.jpg
pcfx,Doukyuusei 2 (Japan),同级生2  （日版）,1996-08-09,PCFX#5,https://data.yang2000ling.com/img/pcfx_200/PCFX5.jpg
pcfx,Dragon Knight 4 (Japan),龙骑士4  （日版）,1997-03-28,PCFX#6,https://data.yang2000ling.com/img/pcfx_200/PCFX6.jpg
pcfx,Fire Woman Matoigumi (Japan),火舞女子缠组  （日版）,1996-12-20,PCFX#7,https://data.yang2000ling.com/img/pcfx_200/PCFX7.jpg
pcfx,Megami Paradise II (Japan),女神天国2  （日版）,1996-07-26,PCFX#8,https://data.yang2000ling.com/img/pcfx_200/PCFX8.jpg
pcfx,Fushigi no Kuni no Angelique (Japan),不可思议之国的安琪莉可  （日版）,1996-10-11,PCFX#9,https://data.yang2000ling.com/img/pcfx_200/PCFX9.jpg
pcfx,Farland Story FX (Japan),古大陆物语FX  （日版）,1996-11-08,PCFX#10,https://data.yang2000ling.com/img/pcfx_200/PCFX10.jpg
pcfx,Pia Carrot e Youkoso!! We've Been Waiting for You (Japan),恋爱餐厅  （日版）,1997-05-23,PCFX#11,https://data.yang2000ling.com/img/pcfx_200/PCFX11.jpg
pcfx,Can Can Bunny Extra DX (Japan),首映日  （日版）,1996-09-27,PCFX#12,https://data.yang2000ling.com/img/pcfx_200/PCFX12.jpg
pcfx,AnimeFreak FX Vol. 2 (Japan),动漫美少女大集合 Vol.2  （日版）,1995-12-22,PCFX#13,https://data.yang2000ling.com/img/pcfx_200/PCFX13.jpg
pcfx,First Kiss Story (Japan),初吻物语  （日版）,1998-04-27,PCFX#14,https://data.yang2000ling.com/img/pcfx_200/PCFX14.jpg
pcfx,Kokuu Hyouryuu - Nirgends (Japan),虚空漂流-尼鲁格恩斯  （日版）,1996-06-28,PCFX#15,https://data.yang2000ling.com/img/pcfx_200/PCFX15.jpg
pcfx,J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),蓝色芝加哥  （日版） (Disc 1),1996-03-22,PCFX#16,https://data.yang2000ling.com/img/pcfx_200/PCFX16.jpg
pcfx,J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),蓝色芝加哥  （日版） (Disc 2),1996-03-22,PCFX#17,https://data.yang2000ling.com/img/pcfx_200/PCFX16.jpg
pcfx,Return to Zork (Japan),重返魔域  （日版）,1995-05-27,PCFX#18,https://data.yang2000ling.com/img/pcfx_200/PCFX18.jpg
pcfx,Sparkling Feather (Japan),闪光羽翼  （日版）,1997-04-25,PCFX#19,https://data.yang2000ling.com/img/pcfx_200/PCFX19.jpg
pcfx,Super Power League FX (Japan),超级职棒联盟FX  （日版）,1996-04-26,PCFX#20,https://data.yang2000ling.com/img/pcfx_200/PCFX20.jpg
pcfx,Voice Paradise (Japan) (Disc A),声优乐园  （日版） (Disc A),1996-05-17,PCFX#21,https://data.yang2000ling.com/img/pcfx_200/PCFX21.jpg
pcfx,Voice Paradise (Japan) (Disc B),声优乐园  （日版） (Disc B),1996-05-17,PCFX#22,https://data.yang2000ling.com/img/pcfx_200/PCFX21.jpg
pcfx,Wakusei Koukitai - Little Cats (Japan),惑星攻机队-小猫  （日版）,1997-07-04,PCFX#23,https://data.yang2000ling.com/img/pcfx_200/PCFX23.jpg
pcfx,Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc I),续初恋物语-修学旅行 （日版） (Disc I),1997-06-06,PCFX#24,https://data.yang2000ling.com/img/pcfx_200/PCFX24.jpg
pcfx,Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc II),续初恋物语-修学旅行 （日版） (Disc II),1997-06-06,PCFX#25,https://data.yang2000ling.com/img/pcfx_200/PCFX24.jpg
pcfx,Blue Breaker - Ken yori mo Hohoemi o (Japan),纯爱游侠-剑之微笑  （日版）,1996-09-27,PCFX#26,https://data.yang2000ling.com/img/pcfx_200/PCFX26.jpg
pcfx,Same Game FX (Japan) (NEC PC-FXGA),Same Game FX（日版） (NEC PC-FXGA),,PCFX#27,https://data.yang2000ling.com/img/pcfx_200/PCFX.jpg
pcfx,AnimeFreak FX Vol. 1 (Japan),动漫美少女大集合 Vol.1  （日版）,1995-08-12,PCFX#28,https://data.yang2000ling.com/img/pcfx_200/PCFX28.jpg
pcfx,AnimeFreak FX Vol. 3 (Japan),动漫美少女大集合 Vol.3  （日版）,1996-04-05,PCFX#29,https://data.yang2000ling.com/img/pcfx_200/PCFX29.jpg
pcfx,AnimeFreak FX Vol. 4 (Japan),动漫美少女大集合 Vol.4  （日版）,1997-02-28,PCFX#30,https://data.yang2000ling.com/img/pcfx_200/PCFX30.jpg
pcfx,AnimeFreak FX Vol. 5 (Japan) (Disc 1),动漫美少女大集合 Vol.5  （日版） (Disc 1),1997-08-29,PCFX#31,https://data.yang2000ling.com/img/pcfx_200/PCFX31.jpg
pcfx,AnimeFreak FX Vol. 5 (Japan) (Disc 2),动漫美少女大集合 Vol.5  （日版） (Disc 2),1997-08-29,PCFX#32,https://data.yang2000ling.com/img/pcfx_200/PCFX31.jpg
pcfx,AnimeFreak FX Vol. 6 (Japan) (Disc 1),动漫美少女大集合 Vol.6  （日版） (Disc 1),,PCFX#33,https://data.yang2000ling.com/img/pcfx_200/PCFX34.jpg
pcfx,AnimeFreak FX Vol. 6 (Japan) (Disc 2),动漫美少女大集合 Vol.6  （日版） (Disc 2),1998-02-27,PCFX#34,https://data.yang2000ling.com/img/pcfx_200/PCFX34.jpg
pcfx,Albaria no Otome (Japan),阿尔巴雷亚少女  （日版）,1997-06-27,PCFX#35,https://data.yang2000ling.com/img/pcfx_200/PCFX35.jpg
pcfx,Ginga Ojousama Densetsu Yuna FX - Kanashimi no Selene (Japan) (Sample),银河公主传说优奈FX-哀伤的海妖塞壬  （日版） （试玩版）,1996-03-08,PCFX#36,https://data.yang2000ling.com/img/pcfx_200/PCFX62.jpg
pcfx,Konpeki no Kantai (Japan),绀碧之舰队  （日版）,1995-03-31,PCFX#37,https://data.yang2000ling.com/img/pcfx_200/PCFX37.jpg
pcfx,Mahjong Gokuu Tenjiku (Japan) (SABS),麻将悟空-天竺  （日版） (SABS),1995-03-24,PCFX#38,https://data.yang2000ling.com/img/pcfx_200/PCFX38.jpg
pcfx,Aa! Megami-sama (Japan) (Disc 1),我的女神  （日版） (Disc 1),1997-12-12,PCFX#39,https://data.yang2000ling.com/img/pcfx_200/PCFX39.jpg
pcfx,Aa! Megami-sama (Japan) (Disc 2),我的女神  （日版） (Disc 2),1997-12-12,PCFX#40,https://data.yang2000ling.com/img/pcfx_200/PCFX39.jpg
pcfx,Angelique - Tenkuu no Requiem (Japan),安琪莉可-天空的镇魂歌  （日版）,1998-04-02,PCFX#41,https://data.yang2000ling.com/img/pcfx_200/PCFX41.jpg
