system,game_name,ch_name,id,size
photocd,Autosport Magazine Presents Grand Prix Special (UK),赛车杂志 国际汽车大奖赛（英国版）,PHOTOCD#1,489.02MB
photocd,Dark Chaser (Japan),黑暗追击者（日版）,PHOTOCD#2,146.30MB
photocd,Dazzling - Hara Kumiko by Tatsuo Watanabe (Japan),ＤＡＺＺＬＩＮＧ／原　久美子（日版）,PHOTOCD#3,93.11MB
photocd,Etsuko Nishio - Finger by Hajime Sawatari (Japan),西尾悦子・フィンガー（日版）,PHOTOCD#4,123.04MB
photocd,"Flowers of Robert Mapplethorpe, The (USA)",罗伯特·梅普尔索普之花（美版）,PHOTOCD#5,289.25MB
photocd,Honoo no On'na Janshi Kyoko Makenai!! Jissen Mondai-shuu (Japan),炎の女雀師京子 負けない！！実践問題集（日版）,PHOTOCD#6,352.15MB
photocd,Inu-ou Chikyuu o Sukuu (Japan),犬王拯救了地球（日版）,PHOTOCD#7,235.53MB
photocd,Kodak Photo CD - Discover Photo CD (USA) (Version 1),柯达Photo CD - 探索Photo CD（美版） (Version 1),PHOTOCD#8,104.12MB
photocd,Langrisser - Seiken Secret File (Japan),梦幻模拟战 - 圣剑秘书（日版）,PHOTOCD#9,81.42MB
photocd,Marilyn Monroe (Germany),德国玛丽莲梦露（德国版）,PHOTOCD#10,380.93MB
photocd,Mars Blade (Japan),火星之刃（日版）,PHOTOCD#11,233.88MB
photocd,Mode-Trends 92-93 Elle (Germany),,PHOTOCD#12,35.09MB
photocd,Mono CD Series Vol. 1 - Zippo Lighter no Sekai - Zippo Collection Manual (Japan),ジッポー・ライターの世界（日版）,PHOTOCD#13,218.39MB
photocd,"Notte Mitai Ressha, Ittemitai Rosen Catalog - Tetsudou no Tabi Vol. 1 - Hokkaido, Touhoku (Japan)",乗ってみたい列車・行ってみたい路線カタログ　鉄道の旅①　「北海道・東北」（日版）,PHOTOCD#14,367.73MB
photocd,"Notte Mitai Ressha, Ittemitai Rosen Catalog - Tetsudou no Tabi Vol. 2 - Kantou, Koushinetsu, Toukai, Hokuriku (Japan)",乗ってみたい列車・行ってみたい路線カタログ　鉄道の旅②　「関東・甲信越・東海・北陸」（日版）,PHOTOCD#15,390.22MB
photocd,Nympheas - La Musique des tableaux celebres (France) (Bundled with [SS] Photo CD Operating System),仙女-名人画的音乐（法国版） (Bundled with [SS] Photo CD Operating System),PHOTOCD#16,421.40MB
photocd,Photo CD Demo Disc (Netherlands),Photo CD试样光碟（荷兰版）,PHOTOCD#17,240.02MB
photocd,Pretty Soldier SailorMoon - Bishoujo Senshi Sailor Moon Vol. 1 - Dark Kingdom-hen (Japan),美少女戦士 黑暗王国編（日版）,PHOTOCD#18,131.45MB
photocd,Pretty Soldier SailorMoon - Bishoujo Senshi Sailor Moon Vol. 2 - Black Moon-hen (Japan),美少女戦士 黑月編（日版）,PHOTOCD#19,128.31MB
photocd,Profile of The Great F1 Driver - Alain Prost - Alain Prost - Professor no Shouzou (Japan),アラン・プロスト　プロフェッサーの肖像（日版）,PHOTOCD#20,212.98MB
photocd,Profile of The Great F1 Driver - Ayrton Senna - Ayrton Senna no Shinjitsu (Japan),アイルトン・セナの真実（日版）,PHOTOCD#21,155.13MB
photocd,Profile of The Great F1 Driver - Nigel Mansell - Nigel Mansell Moeru Jonburu Tamashii (Japan) (2M),ナイジェル・マンセル 燃えるジョンブル魂（日版） (2M),PHOTOCD#22,223.94MB
photocd,Sakura Taisen - Teigeki Secret File (Japan),樱大战　～帝劇シークレット・ファイル～（日版）,PHOTOCD#23,61.01MB
photocd,Shimada Youko - Quatre (Japan),島田陽・子カトル（日版）,PHOTOCD#24,95.65MB
photocd,Steelwood - Private Eye (Japan),私人侦探（日版）,PHOTOCD#25,166.13MB
