system,game_id,game_name,ch_name,UMD_ID,date,genre,img,language,publisher,region
psp,1,Ridge Racers,山脊赛车,ULJS-00001,2005-05-04,Racing,https://data.yang2000ling.com/img/psp_200/0001.jpg,日语,Namco,日版
psp,2,Vampire Chronicle - The Chaos Tower,恶魔战士编年史-浑沌之塔,ULJM-05005,2005-05-04,Fighting,https://data.yang2000ling.com/img/psp_200/0002.jpg,日语,Capcom,日版
psp,3,Wipeout Pure,反重力赛车,UCUS-98612,2005-05-04,Racing,https://data.yang2000ling.com/img/psp_200/0003.jpg,英文,Sony,美版
psp,4,Lumines,音乐方块,ULUS-10002,2005-05-28,Puzzle,https://data.yang2000ling.com/img/psp_200/0004.jpg,英文,Ubi Soft,美版
psp,5,Twisted Metal - Head On,扭曲金属赛车-勇往直前,UCUS-98601,2005-05-28,Racing,https://data.yang2000ling.com/img/psp_200/0005.jpg,英文,Sony,美版
psp,6,Smart Bomb,智能炸弹,ULUS-10016,2005-05-28,Puzzle,https://data.yang2000ling.com/img/psp_200/0006.jpg,英文,Eidos,美版
psp,7,Ridge Racer,山脊赛车,ULUS-10001,2005-05-28,Racing,https://data.yang2000ling.com/img/psp_200/0007.jpg,英文,Namco,美版
psp,8,Gretzky NHL,美国职业冰球联盟,UCUS-98604,2005-05-28,Sport,https://data.yang2000ling.com/img/psp_200/0008.jpg,英文,Sony,美版
psp,9,Need for Speed - Underground Rivals,极品飞车-地下狂飙,ULJM-05008,2005-05-29,Racing,https://data.yang2000ling.com/img/psp_200/0009.jpg,日语,Electronic Arts,日版
psp,10,ATV Offroad Fury - Blazin' Trails,沙滩机车赛,UCUS-98603,2011-05-14,Racing,https://data.yang2000ling.com/img/psp_200/0010.jpg,英文,Sony,美版
psp,11,Dynasty Warriors,真三国无双,ULUS-10004,2005-06-08,Action Adventure,https://data.yang2000ling.com/img/psp_200/0011.jpg,英文,Koei,美版
