system,game_id,game_name,ch_name,dlc_id,dlc_name,region
psvdlc,PCSA00001,ModNation Racers: Road Trip,模组世界赛车：街头之旅 [英文版],DLC-MNRV0ADDCONTSE00,ModNationTM Racers - Road Trip - Unlock All,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK060000000,80s Sound Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK080000000,Brass Sound Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK010000000,Car Mini-Album & Entity Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK120000000,City Art Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK070000000,Dubstep Sound Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK130000000,Future Funk 3000 Sound Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK150000000,Hohokum Art Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK140000000,Lizzywanders Art Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK090000000,Nature Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK100000000,Old School Sound Pack,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK020000000,Sound ShapesTM,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK030000000,Sound ShapesTM,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK040000000,Sound ShapesTM,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK050000000,Sound ShapesTM,USA
psvdlc,PCSA00003,Sound Shapes,声与形 [英文版],DLC-DLCPACK110000000,Vocoder Sound Pack,USA
psvdlc,PCSA00004,Escape Plan,逃脱计划 [英文版],DLC-ESCAPEPLANDLC004,Escape PlanTM - Director's Cut,USA
psvdlc,PCSA00004,Escape Plan,逃脱计划 [英文版],DLC-ESCAPEPLANDLC002,Escape PlanTM - The Asylum,USA
psvdlc,PCSA00004,Escape Plan,逃脱计划 [英文版],DLC-ESCAPEPLANDLC003,Escape PlanTM - The Underground,USA
psvdlc,PCSA00006,Super Stardust Delta,超级星尘 三角洲 [英文版],DLC-SSDELTA000000DLC,Super Stardust Delta DLC,USA
