title_id,serial,name,region
0004000000037500,CTR-AGRP,Tom Clancys Ghost Recon: Shadow Wars,EUR
0004000000038900,CTR-ASMP,Super Monkey Ball 3D,EUR
0004000000038C00,CTR-ALGP,LEGO Star Wars III: The Clone Wars,EUR
0004000000033600,CTR-AQEP,The Legend of Zelda: Ocarina of Time 3D,EUR
0004000000053F00,CTR-AREP,Super Mario 3D Land,EUR
0004000000049100,CTR-ANRP,Star Fox 64 3D (Rev02),EUR
0004000000031D00,CTR-AWAP,PilotWings Resort,EUR
0004000000038B00,CTR-ABMP,Resident Evil: The Mercenaries 3D,EUR
0004000000033800,CTR-ABBP,Puzzle Bobble Universe,EUR
0004000000033900,CTR-ARYP,Rayman 3D,EUR
0004000000033C00,CTR-ASSP,Super Street Fighter IV: 3D Edition,EUR
0004000000038A00,CTR-ADDP,Dead or Alive: Dimensions,EUR
0004000000033A00,CTR-ASCP,Tom Clancys Splinter Cell 3D,EUR
0004000000033B00,CTR-ARRP,Ridge Racer 3D,EUR
0004000000056200,CTR-ADLP,Doctor Lautrec and The Forgotten Knights,EUR
0004000000030700,CTR-AMKP,Mario Kart 7,EUR
000400000004B300,CTR-AQNP,Cubic Ninja,EUR
0004000000032300,CTR-ASDP,Steel Diver,EUR
000400000004C100,CTR-ATLP,Tetris,EUR
0004000000037600,CTR-ASFP,Asphalt 3D,EUR
0004000000045600,CTR-APCP,LEGO Pirates of the Caribbean: The Video Game,EUR
0004000000037800,CTR-ADRP,Driver: Renegade 3D,EUR
0004000000033D00,CTR-AS3P,The Sims 3,EUR
0004000000033E00,CTR-AMDP,Madden NFL Football,EUR
0004000000032800,CTR-ARRJ,Ridge Racer 3D,JPN
0004000000066D00,CTR-ACCP,Super Pokemon Rumble,EUR
000400000005D700,CTR-AABP,Tales of the Abyss,EUR
0004000000043500,CTR-AGLP,Green Lantern: Rise of the Manhunters,EUR
0004000000043B00,CTR-AGTP,Thor: God of Thunder,EUR
000400000004C800,CTR-ADTP,Dream Trigger 3D,EUR
