english_name,chinese_name,source_id,extra_json
20th Century Video Almanac (USA),20世纪年鉴（美版）,3DO#1,
3D Atlas (Europe),3D 阿特拉斯（欧版）,3DO#2,
3D Atlas (USA),3D 阿特拉斯（美版）,3DO#3,
3DO de Shiru Miru Asobu - Nakajima Miyuki (Japan),,3DO#4,
"3DO Game Guru (USA, Europe)",3DO游戏大师（美版 欧版）,3DO#5,
"3DO Interactive Sampler CD 2, The (USA)",3DO游戏演示集锦CD2（美版）,3DO#6,
"3DO Interactive Sampler CD 3, The (USA)",3DO游戏演示集锦CD3（美版）,3DO#7,
"3DO Interactive Sampler CD 4, The (USA)",3DO游戏演示集锦CD4（美版）,3DO#8,
"3DO Interactive Sampler CD, The (USA)",3DO游戏演示集锦CD（美版）,3DO#9,
"3DO Interactive Sampler, The (Europe)",3DO游戏演示集锦（欧版）,3DO#10,
"3DO Multi Game Sampler Number 3, The (Europe)",3DO游戏演示集锦3（欧版）,3DO#11,
AI Shougi (Japan),AI将棋（日版）,3DO#12,
"Alone in the Dark (Europe) (En,Fr)","鬼屋魔影（欧版） (En,Fr)",3DO#13,
"Alone in the Dark (Europe) (En,Fr) (NTSC Version)","鬼屋魔影（欧版） (En,Fr) （NTSC制式版本）",3DO#14,
Alone in the Dark (Japan),鬼屋魔影（日版）,3DO#15,
Alone in the Dark (USA),鬼屋魔影（美版）,3DO#16,
Alone in the Dark (USA) (Demo),鬼屋魔影（美版） （演示版）,3DO#17,
Alone in the Dark 2 (France),鬼屋魔影2（法国版）,3DO#18,
Alone in the Dark 2 (Japan),鬼屋魔影2（日版）,3DO#19,
Alone in the Dark 2 (USA),鬼屋魔影2（美版）,3DO#20,
Anno Mitsumasa Pepperon-mura no Shiki (Japan),安野光雅 佩隆村的四季（日版）,3DO#21,
Aqua World - Umi Monogatari (Japan),海美物語（日版）,3DO#22,
Armageddon (Korea),,3DO#23,
AutoBahn Tokio (Japan),东京时速（日版）,3DO#24,
AutoBahn Tokio (Japan) (Demo),东京时速（日版） （演示版）,3DO#25,
Bakushou!! All Yoshimoto Quiz-ou Kettei-sen (Japan),爆笑!吉本 答题王决定战（日版）,3DO#26,
"Ballz - The Director's Cut (World) (En,Ja)","BallZ导演剪辑版（世界版） (En,Ja)",3DO#27,
Battle Blues (Korea),,3DO#28,
Battle Chess (Europe),国际象棋（欧版）,3DO#29,
Battle Chess (Japan),国际象棋（日版）,3DO#30,
Battle Chess (USA),国际象棋（美版）,3DO#31,
Battle Pinball (Japan),战斗弹珠台（日版）,3DO#32,
BattleSport (Europe),战斗运动（欧版）,3DO#33,
BattleSport (USA),战斗运动（美版）,3DO#34,
"BC Racers (USA, Europe)",石器时代赛车（美版 欧版）,3DO#35,
Belzerion (Japan),凡尔赛里昂（日版）,3DO#36,
BFS - Blue Forest Story (Japan),蓝森林物语 风之封印（日版）,3DO#37,
BFS - Blue Forest Story (Japan) (Alt),蓝森林物语 风之封印（日版） (Alt),3DO#38,
Blade Force (Europe),刃之力量（欧版）,3DO#39,
Blade Force (Japan),刃之力量（日版）,3DO#40,
Blade Force (Korea),刃之力量（韩国版）,3DO#41,
Blade Force (USA),刃之力量（美版）,3DO#42,
Blonde Justice (USA),金发大法官（美版）,3DO#43,
Blood Angels (Japan),血腥天使（日版）,3DO#44,
Bodyconscious Digital Rave! Part 1 - Shinjuku & Takasaki (Japan),,3DO#45,
Bonogurashi (Japan),我的生活（日版）,3DO#46,
BrainDead 13 (USA) (Disc 1),吃脑外星人（美版） （光碟 1）,3DO#47,
BrainDead 13 (USA) (Disc 1) (RE-1),吃脑外星人（美版） （光碟 1） (RE-1),3DO#48,
BrainDead 13 (USA) (Disc 2),吃脑外星人（美版） （光碟 2）,3DO#49,
Burning Soldier (Canada),燃烧的士兵（加拿大版）,3DO#50,
Burning Soldier (Europe),燃烧的士兵（欧版）,3DO#51,
Burning Soldier (Japan),燃烧的士兵（日版）,3DO#52,
"Burning Soldier (USA, Korea)",燃烧的士兵（美版，韩版）,3DO#53,
Bust-A-Move (USA),,3DO#54,
Cannon Fodder (Europe),小兵立大功（欧版）,3DO#55,
Cannon Fodder (USA),小兵立大功（美版）,3DO#56,
Captain Quazar & BattleSport (Europe) (Demo),Q上尉 + 战斗运动（欧版） （演示版）,3DO#57,
Captain Quazar (Europe),Q上尉（欧版）,3DO#58,
Captain Quazar (Japan),Q上尉（日版）,3DO#59,
Captain Quazar (Korea),Q上尉（韩国版）,3DO#60,
Captain Quazar (USA),Q上尉（美版）,3DO#61,
Carrier - Fortress at Sea (USA),海上堡垒（美版）,3DO#62,
Casper (USA),鬼马小精灵（美版）,3DO#63,
Chiki Chiki Machine Mou Race - Kenken to Black Maou no Ijiwaru Daisakusen (Japan),顽皮狗 黑魔王的疯狂大作战（日版）,3DO#64,
Chiki Chiki Machine Mou Race 2 - In Space (Japan),顽皮狗2（日版）,3DO#65,
Chiki Chiki Machine Mou Race 2 - In Space (Japan) (Demo),顽皮狗2（日版） （演示版）,3DO#66,
Club 3DO - Station Invasion (USA),3DO俱乐部（美版）,3DO#67,
Corpse Killer (Japan),杀人僵尸（日版）,3DO#68,
Corpse Killer (USA),杀人僵尸（美版）,3DO#69,
"Coven, The (USA)",女巫的聚会（美版）,3DO#70,
