english_name,chinese_name,source_id,extra_json
'89 Dennou Kyuusei Uranai (Japan),89电脑占星术 （日版）,FC#1,
10-Yard Fight (Japan),十码大战 （日版）,FC#2,
10-Yard Fight (Japan) (Rev 1),十码大战 （日版） （修正版 1）,FC#3,
"10-Yard Fight (USA, Europe)",十码大战 （美版 欧版）,FC#4,
100 Man Dollar Kid - Maboroshi no Teiou Hen (Japan),百万小子 - 幻之帝王篇 （日版）,FC#5,
110 in 1 (Asia) (En) (Unl) (Pirate),100合1 （亚洲版） (En) （非官方版） (Pirate),FC#6,
"1942 (Japan, USA)",1942 （日版，美版）,FC#7,
1943 - The Battle of Midway (Japan) (Beta),1943 - 中途岛战役 （日版） （测试版）,FC#8,
1943 - The Battle of Midway (USA),1943 - 中途岛战役 （美版）,FC#9,
1943 - The Battle of Valhalla (Japan),1943 - 中途岛战役 （日版）,FC#10,
1991 Du Ma Racing (Asia) (Ja) (Idea-Tek) (Unl),91赛马 （亚洲版） (Ja) (Idea-Tek) （非官方版）,FC#11,
1991 Du Ma Racing (Asia) (Ja) (Micro Genius) (Unl),91赛马 （亚洲版） (Ja) (Micro Genius) （非官方版）,FC#12,
"1999 - Hore, Mitakotoka! Seikimatsu (Japan)",99 强手棋 （日版）,FC#13,
2010 Street Fighter (Japan),2010街头斗士 （日版）,FC#14,
3 in 1 Supergun (Asia) (Ja) (Unl),枪卡游戏 - 3 合 1 （亚洲版） (Ja) （非官方版）,FC#15,
3-D WorldRunner (USA),3D世界赛跑者 （美版）,FC#16,
3D Block (Asia) (Ja) (Hwang Shinwei) (Unl),3D方块 （亚洲版） (Ja) (Hwang Shinwei) （非官方版）,FC#17,
3D Block (Asia) (Ja) (RCM Group) (Unl),3D方块 （亚洲版） (Ja) (RCM Group) （非官方版）,FC#18,
4 Nin Uchi Mahjong (Japan),四人麻雀 （日版）,FC#19,
4 Nin Uchi Mahjong (Japan) (Rev 1),四人麻雀 （日版） （修正版 1）,FC#20,
720 Degrees (USA),720度转角 （美版）,FC#21,
8 Eyes (Japan),八眼传说 （日版）,FC#22,
8 Eyes (USA),八眼传说 （美版）,FC#23,
A Ressha de Ikou (Japan),铁路Ａ计划 （日版）,FC#24,
Aa Yakyuu Jinsei Icchokusen (Japan),野球人生 （日版）,FC#25,
Abadox (Japan),阿贝道之战 （日版）,FC#26,
Abadox - The Deadly Inner War (USA),阿巴多克斯-致命的内部战争 （美版）,FC#27,
Abarenbou Tengu (Japan),暴坊天狗 （日版）,FC#28,
Aces - Iron Eagle III (Japan),铁鹰战士III （日版）,FC#29,
