english_name,chinese_name,source_id,extra_json
3 Ninjas Kick Back (USA),小鬼当家又难缠 （美版）,MDCD#1,
A-Rank Thunder - Tanjou-hen (Japan),A级雷电 - 诞生篇 （日版）,MDCD#2,
A-X-101 (USA) (RE),A-X-101 （美版） (RE),MDCD#3,
"Adventures of Batman and Robin, The (Europe)",蝙蝠侠与罗宾大冒险 （欧版）,MDCD#4,
"Adventures of Batman and Robin, The (USA)",蝙蝠侠与罗宾大冒险 （美版）,MDCD#5,
"Adventures of Willy Beamish, The (USA) (Alt)",威利·比米什的冒险 （美版） (ALT),MDCD#6,
"Adventures of Willy Beamish, The (USA)",威利·比米什的冒险 （美版）,MDCD#7,
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan),世界末日之后 外传 - 魔獣闘将伝 （日版）,MDCD#8,
After Burner III (Europe),冲破火网 III （欧版）,MDCD#9,
After Burner III (Japan),冲破火网 III （日版）,MDCD#10,
After Burner III (USA),冲破火网 III （美版）,MDCD#11,
AH3 - Thunderstrike (USA),AH3 - 闪电特攻 （美版）,MDCD#12,
Aisle Lord (Japan),走道领主 （日版）,MDCD#13,
Alshark (Japan),星际怒涛 （日版）,MDCD#14,
"Amazing Spider-Man vs. The Kingpin, The (Europe)",神奇蜘蛛侠大战金并 （欧版）,MDCD#15,
"Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)",神奇蜘蛛侠大战金并 （美版） (REV 1),MDCD#16,
"Amazing Spider-Man vs. The Kingpin, The (USA)",神奇蜘蛛侠大战金并 （美版）,MDCD#17,
Android Assault - The Revenge of Bari-Arm (USA),机甲袭击 （美版）,MDCD#18,
"Animals!, The (Europe)",动物们 （欧版）,MDCD#19,
"Animals!, The (USA)",动物们 （美版）,MDCD#20,
Annett Futatabi (Japan),アネット再び （日版）,MDCD#21,
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),苍狼与白鹿 - 元朝秘史 （日版）,MDCD#22,
"Arcus I, II, III (Japan)","弓 I, II, III （日版）",MDCD#23,
Arslan Senki (Japan),亚尔斯兰战记 （日版）,MDCD#24,
AX-101 (Japan),AX-101 （日版）,MDCD#25,
Bakuden - The Unbalanced Zone (Japan),爆伝 - 不平衡地区 （日版）,MDCD#26,
Bari-Arm (Japan),BARI-ARM （日版）,MDCD#27,
Batman Returns (Europe) (Alt),蝙蝠侠 回归 （欧版） (ALT),MDCD#28,
Batman Returns (Europe),蝙蝠侠 回归 （欧版）,MDCD#29,
Batman Returns (USA) (Alt),蝙蝠侠 回归 （美版） (ALT),MDCD#30,
Batman Returns (USA),蝙蝠侠 回归 （美版）,MDCD#31,
Battle Fantasy (Japan) (Rev A),战斗幻想 （日版） (REV A),MDCD#32,
Battle Frenzy (USA) (Unl),狂暴战士 （美版） （未授权版）,MDCD#33,
Battlecorps (Europe) (Demo),战斗军团 （欧版） (体验版),MDCD#34,
"Battlecorps (Europe) (En,Fr,De,Es)","战斗军团 （欧版） (EN,FR,DE,ES)",MDCD#35,
Battlecorps (Japan),战斗军团 （日版）,MDCD#36,
Battlecorps (USA),战斗军团 （美版）,MDCD#37,
BattleTech - Gray Death Legion (USA) (Unl),战斗机甲:格雷死神军团 （美版） （未授权版）,MDCD#38,
BC Racers (Europe) (Demo) (Green Disc),石器时代赛车 （欧版） (体验版) (GREEN DISC),MDCD#39,
BC Racers (Europe) (Demo) (Yellow Disc),石器时代赛车 （欧版） (体验版) (YELLOW DISC),MDCD#40,
"BC Racers (Europe) (En,Fr,De)","石器时代赛车 （欧版） (EN,FR,DE)",MDCD#41,
BC Racers (USA),石器时代赛车 （美版）,MDCD#42,
Beast II (Europe) (Demo),兽 II （欧版） (体验版),MDCD#43,
Beast II (Europe),兽 II （欧版）,MDCD#44,
Bill Walsh College Football (Europe),大学生足球赛 （欧版）,MDCD#45,
Bill Walsh College Football (USA),大学生足球赛 （美版）,MDCD#46,
Black Hole Assault (Japan),黑洞攻击 （日版）,MDCD#47,
Blackhole Assault (Europe),黑洞攻击 （欧版）,MDCD#48,
Blackhole Assault (USA) (Alt),黑洞攻击 （美版） (ALT),MDCD#49,
Blackhole Assault (USA),黑洞攻击 （美版）,MDCD#50,
"Bloodshot ~ Battle Frenzy (Europe) (En,Fr,De,Es)","狂暴战士 （欧版） (EN,FR,DE,ES)",MDCD#51,
Bouncers (USA),巨人 （美版）,MDCD#52,
Bram Stoker's Dracula (USA) (Alt 1),吸血鬼惊情四百年 （美版） (ALT 1),MDCD#53,
Bram Stoker's Dracula (USA) (Alt 2),吸血鬼惊情四百年 （美版） (ALT 2),MDCD#54,
Bram Stoker's Dracula (USA) (Version 2.0),吸血鬼惊情四百年 （美版） (版本 2.0),MDCD#55,
Bram Stoker's Dracula (USA),吸血鬼惊情四百年 （美版）,MDCD#56,
Brutal - Paws of Fury (Europe),动物快打 （欧版）,MDCD#57,
Brutal - Paws of Fury (USA),动物快打 （美版）,MDCD#58,
Bug Blasters - The Exterminators (USA) (Unl) (Rerelease),灭虫敢死队 （美版） （未授权版） (再发行版),MDCD#59,
Burai - Yatsudama no Yuushi Densetsu (Japan),光明八勇士传说 （日版）,MDCD#60,
Burning Fists - Force Striker (USA) (Unl),燃烧的拳头-重击 （美版） （未授权版）,MDCD#61,
"Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)","凯迪拉克和恐龙-第二次大灾难 (美国版,巴西版) (RE)",MDCD#62,
Captain Tsubasa (Japan),足球小将 （日版）,MDCD#63,
Championship Soccer '94 (USA),足球锦标赛 '94 （美版）,MDCD#64,
Chuck Rock (Europe),呆呆原始人 （欧版）,MDCD#65,
Chuck Rock (USA),呆呆原始人 （美版）,MDCD#66,
Chuck Rock II - Son of Chuck (Europe),呆呆原始人 II - 小原始人 （欧版）,MDCD#67,
Chuck Rock II - Son of Chuck (USA),呆呆原始人 II - 小原始人 （美版）,MDCD#68,
Citizen X (USA) (Unl),公民 X （美版） （未授权版）,MDCD#69,
Cliffhanger (USA),绝岭雄风 （美版）,MDCD#70,
Cobra Command (Europe),眼镜蛇司令部 （欧版）,MDCD#71,
Cobra Command (USA),眼镜蛇司令部 （美版）,MDCD#72,
"Colors of Modern Rock, The (USA)",现代摇滚的色彩 （美版）,MDCD#73,
Compton's Interactive Encyclopedia (USA) (Version 2.00S),交互式百科全书 （美版） (版本 2.00S),MDCD#74,
Compton's Interactive Encyclopedia (USA) (Version 2.01R),交互式百科全书 （美版） (版本 2.01R),MDCD#75,
Compton's Interactive Encyclopedia (USA) (Version 2.01S),交互式百科全书 （美版） (版本 2.01S),MDCD#76,
Compton's Interactive Encyclopedia (USA) (Version 2.10) (RE2),交互式百科全书 （美版） (版本 2.10) (RE2),MDCD#77,
Corpse Killer (Europe) (Mega-CD 32X),尸体杀手 （欧版） (MEGA-CD 32X),MDCD#78,
Corpse Killer (Europe),尸体杀手 （欧版）,MDCD#79,
Corpse Killer (USA) (Sega CD 32X),尸体杀手 （美版） (世嘉 CD 32X),MDCD#80,
Corpse Killer (USA),尸体杀手 （美版）,MDCD#81,
Cosmic Fantasy Stories (Japan),宇宙幻想故事 （日版）,MDCD#82,
Crime Patrol (USA),罪恶刑警 （美版）,MDCD#83,
Cyborg 009 (Japan),机械人 009 （日版）,MDCD#84,
Daihoushinden (Japan),大封神传 （日版）,MDCD#85,
Dark Wizard (USA),黑魔法师 （美版）,MDCD#86,
Dark Wizard - Yomigaeri Shiyami no Madoushi (Japan),黑魔法师 - 苏醒的黑暗魔导士 （日版）,MDCD#87,
Death Bringer (Japan),死亡使者 （日版）,MDCD#88,
Demolition Man (USA),越空狂龙 （美版）,MDCD#89,
Dennin Aleste - Nobunaga and His Ninja Force (Japan),电忍雅士达 （日版）,MDCD#90,
Detonator Orgun (Japan),铁骑士再临 （日版）,MDCD#91,
Devastator (Japan),破坏者 （日版）,MDCD#92,
Double Switch (Europe),双调转术 （欧版）,MDCD#93,
Double Switch (Japan),双调转术 （日版）,MDCD#94,
Double Switch (USA),双调转术 （美版）,MDCD#95,
Dracula Unleashed (Europe) (Disc 1) (Made in E.U.),被释放的吸血鬼 （欧版） (DISC 1) (MADE IN E.U.),MDCD#96,
Dracula Unleashed (Europe) (Disc 1) (Made in Japan),被释放的吸血鬼 （欧版） (DISC 1) (MADE IN JAPAN),MDCD#97,
Dracula Unleashed (Europe) (Disc 2) (Made in E.U.),被释放的吸血鬼 （欧版） (DISC 2) (MADE IN E.U.),MDCD#98,
Dracula Unleashed (Europe) (Disc 2) (Made in Japan),被释放的吸血鬼 （欧版） (DISC 2) (MADE IN JAPAN),MDCD#99,
Dracula Unleashed (USA) (Disc 1),被释放的吸血鬼 （美版） (DISC 1),MDCD#100,
Dracula Unleashed (USA) (Disc 2),被释放的吸血鬼 （美版） (DISC 2),MDCD#101,
Dragon's Lair (Europe),龙穴历险记 （欧版）,MDCD#102,
"Dragon's Lair (Japan) (En,Ja,Fr,De,It)","龙穴历险记 （日版） (EN,JA,FR,DE,IT)",MDCD#103,
Dragon's Lair (USA) (Demo),龙穴历险记 （美版） (体验版),MDCD#104,
Dragon's Lair (USA),龙穴历险记 （美版）,MDCD#105,
"Dune (Europe) (En,Fr,De,Es,It,Ar)","沙丘 （欧版） (EN,FR,DE,ES,IT,AR)",MDCD#106,
Dune (USA),沙丘 （美版）,MDCD#107,
Dungeon Explorer (Europe),迷宫探险家-盟约之门 （欧版）,MDCD#108,
Dungeon Explorer (USA),迷宫探险家-盟约之门 （美版）,MDCD#109,
Dungeon Master II - Skullkeep (Europe),地下城主 II - SKULLKEEP （欧版）,MDCD#110,
Dungeon Master II - Skullkeep (Japan),地下城主 II - SKULLKEEP （日版）,MDCD#111,
Dungeon Master II - Skullkeep (USA) (RE3),地下城主 II - SKULLKEEP （美版） (RE3),MDCD#112,
Dynamic Country Club (Japan),乡村高尔夫俱乐部 （日版）,MDCD#113,
Earnest Evans (Japan),热心的埃文斯 （日版）,MDCD#114,
Earthworm Jim - Special Edition (Europe),蚯蚓吉姆 - 特别版 （欧版）,MDCD#115,
Earthworm Jim - Special Edition (USA) (RE),蚯蚓吉姆 - 特别版 （美版） (RE),MDCD#116,
"Ecco - The Tides of Time (Europe) (En,Fr,De,Es)","海豚 - 潮汐时间 （欧版） (EN,FR,DE,ES)",MDCD#117,
Ecco - The Tides of Time (USA) (Alt),海豚 - 潮汐时间 （美版） (ALT),MDCD#118,
Ecco - The Tides of Time (USA),海豚 - 潮汐时间 （美版）,MDCD#119,
Ecco the Dolphin (Australia),海豚 (澳洲版),MDCD#120,
Ecco the Dolphin (Europe) (Rerelease),海豚 （欧版） (再发行版),MDCD#121,
Ecco the Dolphin (Europe),海豚 （欧版）,MDCD#122,
Ecco the Dolphin (USA),海豚 （美版）,MDCD#123,
Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin),海豚 CD （日版） (DISC 1) (海豚),MDCD#124,
Ecco the Dolphin CD (Japan) (Disc 2) (Ecco the Dolphin II),海豚 CD （日版） (DISC 2) (海豚 II),MDCD#125,
Egawa Suguru no Super League CD (Japan),江川卓超级联赛 CD （日版）,MDCD#126,
ESPN Baseball Tonight (Europe),ESPN棒球直播 （欧版）,MDCD#127,
ESPN Baseball Tonight (USA),ESPN棒球直播 （美版）,MDCD#128,
ESPN National Hockey Night (USA),ESPN 夜色曲棍球 （美版）,MDCD#129,
ESPN NBA Hangtime '95 (USA),ESPN-NBA大灌篮 '95 （美版）,MDCD#130,
ESPN Sunday Night NFL (USA),ESPN 星期日晚间橄榄球联赛 （美版）,MDCD#131,
Eternal Champions - Challenge from the Dark Side (Europe) (Beta),永恒的冠军 : 挑战从黑暗的一面 （欧版） (测试版),MDCD#132,
Eternal Champions - Challenge from the Dark Side (Europe),永恒的冠军 : 挑战从黑暗的一面 （欧版）,MDCD#133,
Eternal Champions - Challenge from the Dark Side (USA) (Beta),永恒的冠军 : 挑战从黑暗的一面 （美版） (测试版),MDCD#134,
Eternal Champions - Challenge from the Dark Side (USA) (RE),永恒的冠军 : 挑战从黑暗的一面 （美版） (RE),MDCD#135,
Eternal Champions - Challenge from the Dark Side (USA),永恒的冠军 : 挑战从黑暗的一面 （美版）,MDCD#136,
Eye of the Beholder (Europe),燃情追踪 （欧版）,MDCD#137,
Eye of the Beholder (Japan),燃情追踪 （日版）,MDCD#138,
Eye of the Beholder (USA),燃情追踪 （美版）,MDCD#139,
F1 Circus CD (Japan),F1巡回赛 CD （日版）,MDCD#140,
Fahrenheit (Europe),华氏温度 （欧版）,MDCD#141,
Fahrenheit (France),华氏温度 （法版）,MDCD#142,
Fahrenheit (Japan),华氏温度 （日版）,MDCD#143,
Fahrenheit (USA) (Disc 1) (Key Disc) (Sega CD),华氏温度 （美版） (DISC 1) (KEY DISC) (世嘉 CD),MDCD#144,
Fahrenheit (USA) (Disc 2) (32X CD),华氏温度 （美版） (DISC 2) (32X CD),MDCD#145,
Fatal Fury Special (Europe) (Beta),饿狼传说 特别版 （欧版） (测试版),MDCD#146,
Fatal Fury Special (Europe) (Demo),饿狼传说 特别版 （欧版） (体验版),MDCD#147,
Fatal Fury Special (Europe),饿狼传说 特别版 （欧版）,MDCD#148,
Fatal Fury Special (USA),饿狼传说 特别版 （美版）,MDCD#149,
FIFA International Soccer (USA),FIFA 国际化 足球 （美版）,MDCD#150,
FIFA International Soccer - Championship Edition (Europe) (Demo) (Alt),FIFA 国际化 足球 - 锦标赛版 （欧版） (体验版) (ALT),MDCD#151,
FIFA International Soccer - Championship Edition (Europe) (Demo),FIFA 国际化 足球 - 锦标赛版 （欧版） (体验版),MDCD#152,
FIFA International Soccer - Championship Edition (Europe),FIFA 国际化 足球 - 锦标赛版 （欧版）,MDCD#153,
Final Fight CD (Europe),快打旋风 CD （欧版）,MDCD#154,
Final Fight CD (Japan) (Rev A),快打旋风 CD （日版） (REV A),MDCD#155,
Final Fight CD (Japan),快打旋风 CD （日版）,MDCD#156,
Final Fight CD (USA) (Alt 1),快打旋风 CD （美版） (ALT 1),MDCD#157,
Final Fight CD (USA) (Alt 2),快打旋风 CD （美版） (ALT 2),MDCD#158,
Final Fight CD (USA),快打旋风 CD （美版）,MDCD#159,
Flashback (Europe) (Demo),闪回 （欧版） (体验版),MDCD#160,
Flashback - The Quest for Identity (USA),闪回 - 身份之谜 （美版）,MDCD#161,
Flink (Europe),弗兰克 （欧版）,MDCD#162,
Flink (USA),弗兰克 （美版）,MDCD#163,
Formula One World Championship - Beyond the Limit (Europe),一级方程式世界锦标赛 - 超越极限 （欧版）,MDCD#164,
Formula One World Championship - Beyond the Limit (USA),一级方程式世界锦标赛 - 超越极限 （美版）,MDCD#165,
Fresh Cleaner (Japan),清洁剂 （日版）,MDCD#166,
Game no Kandume Vol. 1 (Japan),游戏结束 卷 1 （日版）,MDCD#167,
Game no Kandume Vol. 2 (Japan),游戏结束 卷 2 （日版）,MDCD#168,
Garou Densetsu Special (Japan),饿狼传说 DENSETSU 特别版 （日版）,MDCD#169,
Genei Toshi - Illusion City (Japan),幻影都市 （日版）,MDCD#170,
Ground Zero Texas (Europe) (Disc 1),德克萨斯州世贸中心 （欧版） (DISC 1),MDCD#171,
Ground Zero Texas (Europe) (Disc 2),德克萨斯州世贸中心 （欧版） (DISC 2),MDCD#172,
Ground Zero Texas (USA) (Disc 1),德克萨斯州世贸中心 （美版） (DISC 1),MDCD#173,
Ground Zero Texas (USA) (Disc 2) (Alt),德克萨斯州世贸中心 （美版） (DISC 2) (ALT),MDCD#174,
Ground Zero Texas (USA) (Disc 2),德克萨斯州世贸中心 （美版） (DISC 2),MDCD#175,
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland Hen (Japan),自我中心派 2 - GEKITOU! 东京麻将篇 （日版）,MDCD#176,
Heart of the Alien - Out of This World Parts I and II (USA) (RE),异性之心 - 世界之外1+2 （美版） (RE),MDCD#177,
Heavenly Symphony - Formula One World Championship 1993 (Japan),天堂交响曲 - 一级方程式世界锦标赛 1993 （日版）,MDCD#178,
Heavy Nova (Japan),重装诺瓦 （日版）,MDCD#179,
Heimdall (Japan),守护神 海姆达尔 （日版）,MDCD#180,
Heimdall (USA),守护神 海姆达尔 （美版）,MDCD#181,
Hook (Europe),小飞侠 （欧版）,MDCD#182,
Hook (USA) (Alt),小飞侠 （美版） (ALT),MDCD#183,
Hook (USA),小飞侠 （美版）,MDCD#184,
"IIIrd World War, The (Japan)",第三次世界大战 （日版）,MDCD#185,
Iron Helix (USA),钢铁螺旋 （美版）,MDCD#186,
Ishii Hisaichi no Daiseikai (Japan),势均力敌的大政界 （日版）,MDCD#187,
"Jaguar XJ220 (Europe) (En,Ja)","美洲虎 XJ220 （欧版） (EN,JA)",MDCD#188,
"Jaguar XJ220 (Japan) (En,Ja)","美洲虎 XJ220 （日版） (EN,JA)",MDCD#189,
Jaguar XJ220 (USA),美洲虎 XJ220 （美版）,MDCD#190,
Jangou World Cup (Japan),JANGOU WORLD CUP （日版）,MDCD#191,
Jeopardy! (USA),危险边缘知识问答 （美版）,MDCD#192,
Joe Montana's NFL Football (USA),乔蒙大拿的橄榄球联赛 （美版）,MDCD#193,
Jurassic Park (Europe) (Rerelease),侏罗纪公园 （欧版） (再发行版),MDCD#194,
Jurassic Park (Europe),侏罗纪公园 （欧版）,MDCD#195,
Jurassic Park (France),侏罗纪公园 （法版）,MDCD#196,
Jurassic Park (Germany),侏罗纪公园 （德版）,MDCD#197,
Jurassic Park (Japan),侏罗纪公园 （日版）,MDCD#198,
Jurassic Park (Spain),侏罗纪公园 (西班牙版),MDCD#199,
Jurassic Park (USA) (RE),侏罗纪公园 （美版） (RE),MDCD#200,
Kamen Rider ZO (Japan),假面骑士 ZO （日版）,MDCD#201,
Keio Flying Squadron (Europe) (Demo),慶応遊撃隊 （欧版） (体验版),MDCD#202,
Keio Flying Squadron (Europe),慶応遊撃隊 （欧版）,MDCD#203,
Keio Flying Squadron (USA),慶応遊撃隊 （美版）,MDCD#204,
Keiou Yuugekitai (Japan) (Sample),慶応遊撃隊 （日版） 体验版,MDCD#205,
Keiou Yuugekitai (Japan),慶応遊撃隊 （日版）,MDCD#206,
Kids on Site (Europe) (RE-1),现场儿童 （欧版） (RE-1),MDCD#207,
Kids on Site (USA),现场儿童 （美版）,MDCD#208,
"Lawnmower Man, The (Europe) (Demo)",割草人 （欧版） (体验版),MDCD#209,
"Lawnmower Man, The (Europe)",割草人 （欧版）,MDCD#210,
"Lawnmower Man, The (USA)",割草人 （美版）,MDCD#211,
Lethal Enforcers (Europe),致命杀手 （欧版）,MDCD#212,
Lethal Enforcers (Japan),致命杀手 （日版）,MDCD#213,
Lethal Enforcers (USA) (Alt),致命杀手 （美版） (ALT),MDCD#214,
Lethal Enforcers (USA),致命杀手 （美版）,MDCD#215,
Lethal Enforcers II - Gun Fighters (Europe) (Beta),致命杀手 II - GUN FIGHTERS （欧版） (测试版),MDCD#216,
Lethal Enforcers II - Gun Fighters (Europe) (Demo),致命杀手 II - GUN FIGHTERS （欧版） (体验版),MDCD#217,
Lethal Enforcers II - Gun Fighters (Europe),致命杀手 II - GUN FIGHTERS （欧版）,MDCD#218,
Lethal Enforcers II - Gun Fighters (USA),致命杀手 II - GUN FIGHTERS （美版）,MDCD#219,
Lethal Enforcers II - The Western (Japan),致命杀手 II - THE WESTERN （日版）,MDCD#220,
Links - The Challenge of Golf (USA) (RE),高尔夫挑战赛 （美版） (RE),MDCD#221,
"Loadstar - The Legend of Tully Bodine (USA, Brazil)","北极星-杜利伯丁传奇 (美国版,巴西版)",MDCD#222,
Lords of Thunder (Europe),雷神 （欧版）,MDCD#223,
Lords of Thunder (USA),雷神 （美版）,MDCD#224,
Lunar - Eternal Blue (Japan) (Demo),露娜 - 永恒之蓝 （日版） (体验版),MDCD#225,
Lunar - Eternal Blue (Japan) (Rev A),露娜 - 永恒之蓝 （日版） (REV A),MDCD#226,
Lunar - Eternal Blue (Japan),露娜 - 永恒之蓝 （日版）,MDCD#227,
Lunar - Eternal Blue (USA) (RE),露娜 - 永恒之蓝 （美版） (RE),MDCD#228,
Lunar - The Silver Star (Japan),露娜 - 银河之星 （日版）,MDCD#229,
Lunar - The Silver Star (USA) (RE),露娜 - 银河之星 （美版） (RE),MDCD#230,
Lunar - The Silver Star (USA),露娜 - 银河之星 （美版）,MDCD#231,
Mad Dog II - The Lost Gold (USA),疯狗Ⅱ之黄金失窃案 （美版）,MDCD#232,
Mad Dog McCree (USA),疯狗麦基利 （美版）,MDCD#233,
Mahou no Shoujo - Silky Lip (Japan),魔法少女 - 柔滑的嘴唇 （日版）,MDCD#234,
Make My Video - INXS (Europe),制作我的视频 - INXS （欧版）,MDCD#235,
Make My Video - INXS (USA) (Beta),制作我的视频 - INXS （美版） (测试版),MDCD#236,
Make My Video - INXS (USA),制作我的视频 - INXS （美版）,MDCD#237,
