english_name,chinese_name,source_id,extra_json
"007 - The World Is Not Enough (Europe) (En,Fr,De)","007-明日帝国 （欧版） (En,Fr,De)",N64#1,
007 - The World Is Not Enough (USA),007-明日帝国 （美版）,N64#2,
007 - The World Is Not Enough (USA) (Beta),007-明日帝国 （美版） （测试版）,N64#3,
"1080 Snowboarding (Europe) (En,Ja,Fr,De)","1080滑雪大赛 （欧版） (En,Ja,Fr,De)",N64#4,
"1080 Snowboarding (Japan, USA) (En,Ja)","1080滑雪大赛 （日版，美版） (En,Ja)",N64#5,
"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)","精灵大救援 （欧版） (En,Es,It) (Proto) (1999-10-07)",N64#6,
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),电子宠物世界64 （日版）,N64#7,
64 Hanafuda - Tenshi no Yakusoku (Japan),64花札-天使的约束 （日版）,N64#8,
64 Oozumou (Japan),64大相扑 （日版）,N64#9,
64 Oozumou 2 (Japan),64大相扑 2 （日版）,N64#10,
64 Trump Collection - Alice no Wakuwaku Trump World (Japan),64王牌大收集-爱丽丝王牌世界 （日版）,N64#11,
Action Replay Pro 64 (Europe) (v3.0) (Unl),ActionReplayPro64 （欧版） (v3.0) (Unl),N64#12,
Action Replay Pro 64 (Europe) (v3.3) (Unl),ActionReplayPro64 （欧版） (v3.3) (Unl),N64#13,
"AeroFighters Assault (Europe) (En,Fr,De)","音速战机 突击 （欧版） (En,Fr,De)",N64#14,
AeroFighters Assault (USA),音速战机 突击 （美版）,N64#15,
"AeroGauge (Europe) (En,Fr,De)","磁浮轨道车 （欧版） (En,Fr,De)",N64#16,
AeroGauge (Japan) (Demo) (Kiosk),磁浮轨道车 （日版） （演示版） (Kiosk),N64#17,
AeroGauge (Japan) (Rev 1),磁浮轨道车 （日版） (Rev 1),N64#18,
AeroGauge (USA),磁浮轨道车 （美版）,N64#19,
AI Shougi 3 (Japan),AI将棋3 （日版）,N64#20,
Aidyn Chronicles - The First Mage (Europe),爱丁编年史-首席魔法师 （欧版）,N64#21,
Aidyn Chronicles - The First Mage (USA),爱丁编年史-首席魔法师 （美版）,N64#22,
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10),爱丁编年史-首席魔法师 （美版） （测试版） (2000-02-10),N64#23,
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09),爱丁编年史-首席魔法师 （美版） （测试版） (2000-05-09),N64#24,
Aidyn Chronicles - The First Mage (USA) (Rev 1),爱丁编年史-首席魔法师 （美版） (Rev 1),N64#25,
Air Boarder 64 (Japan),疾风滑板64 （日版）,N64#26,
Airboarder 64 (Europe),疾风滑板 64 （欧版）,N64#27,
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),恶魔城默示录 （日版）,N64#28,
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),恶魔城默示录外传 （日版）,N64#29,
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)","全明星网球 '99 （欧版） (En,Fr,De,Es,It)",N64#30,
All Star Tennis 99 (USA),全明星网球 99 （美版）,N64#31,
All-Star Baseball 2000 (Europe),全明星棒球 2000 （欧版）,N64#32,
All-Star Baseball 2000 (USA),全明星棒球 2000 （美版）,N64#33,
All-Star Baseball 2001 (USA),全明星棒球 2001 （美版）,N64#34,
All-Star Baseball 99 (Europe),全明星棒球 99 （欧版）,N64#35,
All-Star Baseball 99 (USA),全明星棒球 99 （美版）,N64#36,
Armorines - Project S.W.A.R.M. (Europe),装甲兵器-S.W.A.R.M.计划 （欧版）,N64#37,
Armorines - Project S.W.A.R.M. (Germany),装甲兵器-S.W.A.R.M.计划 （德国版）,N64#38,
Armorines - Project S.W.A.R.M. (USA),装甲兵器-S.W.A.R.M.计划 （美版）,N64#39,
Army Men - Air Combat (USA),玩具兵大战-空中打击 （美版）,N64#40,
"Army Men - Sarge's Heroes (Europe) (En,Fr,De)","玩具兵大战-萨基英雄 （欧版） (En,Fr,De)",N64#41,
Army Men - Sarge's Heroes (USA),玩具兵大战-萨基英雄 （美版）,N64#42,
Army Men - Sarge's Heroes 2 (USA),玩具兵大战-萨基英雄 2 （美版）,N64#43,
Asteroids Hyper 64 (USA),游星大战64 （美版）,N64#44,
Automobili Lamborghini (Europe),兰博基尼赛车 （欧版）,N64#45,
Automobili Lamborghini (USA),兰博基尼赛车 （美版）,N64#46,
Baku Bomber Man (Japan),爆 炸弹人 （日版）,N64#47,
Baku Bomber Man 2 (Japan),爆 炸弹人 2 （日版）,N64#48,
Bakuretsu Muteki Bangaioh (Japan),爆裂无敌 （日版）,N64#49,
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),爆笑人生64 （日版）,N64#50,
Banjo to Kazooie no Daibouken (Japan),班卓与卡祖的大冒险 （日版）,N64#51,
Banjo to Kazooie no Daibouken 2 (Japan),班卓与卡祖的大冒险 2 （日版）,N64#52,
"Banjo-Kazooie (Europe) (En,Fr,De)","班卓与卡祖的大冒险 （欧版） (En,Fr,De)",N64#53,
Banjo-Kazooie (USA),班卓与卡祖的大冒险 （美版）,N64#54,
Banjo-Kazooie (USA) (Rev 1),班卓与卡祖的大冒险 （美版） (Rev 1),N64#55,
Banjo-Tooie (Australia),班卓与卡祖的大冒险2 （澳洲版）,N64#56,
"Banjo-Tooie (Europe) (En,Fr,De,Es)","班卓与卡祖的大冒险2 （欧版） (En,Fr,De,Es)",N64#57,
Banjo-Tooie (USA),班卓与卡祖的大冒险2 （美版）,N64#58,
Bass Rush - ECOGEAR PowerWorm Championship (Japan),巴斯快速钓鱼 （日版）,N64#59,
Bassmasters 2000 (USA),巴斯鲈钓大师 2000 （美版）,N64#60,
Batman Beyond - Return of the Joker (USA),未来蝙蝠侠-小丑的归来 （美版）,N64#61,
"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)","未来蝙蝠侠-小丑的归来 （欧版） (En,Fr,De)",N64#62,
BattleTanx (USA),坦克大战 （美版）,N64#63,
"BattleTanx - Global Assault (Europe) (En,Fr,De)","坦克大战 - 全球突击 （欧版） (En,Fr,De)",N64#64,
BattleTanx - Global Assault (USA),坦克大战 - 全球突击 （美版）,N64#65,
Battlezone - Rise of the Black Dogs (USA),战争地带 （美版）,N64#66,
"Beetle Adventure Racing! (Europe) (En,Fr,De)","甲壳虫冒险赛车 （欧版） (En,Fr,De)",N64#67,
Beetle Adventure Racing! (Japan),甲壳虫冒险赛车 （日版）,N64#68,
"Beetle Adventure Racing! (USA) (En,Fr,De)","甲壳虫冒险赛车 （美版） (En,Fr,De)",N64#69,
Big Mountain 2000 (USA),高山滑雪 （美版）,N64#70,
Bio F.R.E.A.K.S. (Europe),幻想格斗 （欧版）,N64#71,
Bio F.R.E.A.K.S. (USA),幻想格斗 （美版）,N64#72,
Biohazard 2 (Japan),生化危机2 （日版）,N64#73,
"Blast Corps (Europe) (En,De)","爆破推土机 （欧版） (En,De)",N64#74,
Blast Corps (USA),爆破推土机 （美版）,N64#75,
Blast Corps (USA) (Rev 1),爆破推土机 （美版） (Rev 1),N64#76,
Blastdozer (Japan),爆破推土机 （日版）,N64#77,
"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)","布鲁斯兄弟 2000 （欧版） (En,Fr,De,Es,It,Nl)",N64#78,
Blues Brothers 2000 (USA),布鲁斯兄弟 2000 （美版）,N64#79,
"Body Harvest (Europe) (En,Fr,De)","肉体收割 （欧版） (En,Fr,De)",N64#80,
Body Harvest (USA),肉体收割 （美版）,N64#81,
Bokujou Monogatari 2 (Japan),牧场物语2 （日版）,N64#82,
Bokujou Monogatari 2 (Japan) (Rev 1),牧场物语2 （日版） (Rev 1),N64#83,
Bokujou Monogatari 2 (Japan) (Rev 2),牧场物语2 （日版） (Rev 2),N64#84,
Bomberman 64 (Europe),爆 炸弹人64 （欧版）,N64#85,
Bomberman 64 (Japan),爆 炸弹人64 （日版）,N64#86,
Bomberman 64 (USA),爆 炸弹人64 （美版）,N64#87,
Bomberman 64 - The Second Attack! (USA),爆 炸弹人64 - 二次进攻! （美版）,N64#88,
Bomberman Hero (Europe),炸弹人英雄 （欧版）,N64#89,
Bomberman Hero (USA),炸弹人英雄 （美版）,N64#90,
Bomberman Hero - Mirian Oujo o Sukue! (Japan),炸弹人英雄 （日版）,N64#91,
Bottom of the 9th (USA),绝境棒球 （美版）,N64#92,
Brunswick Circuit Pro Bowling (USA),布伦瑞克职业保龄球巡回赛 （美版）,N64#93,
"Buck Bumble (Europe) (En,Fr,De,Es,It)","巴克大黄蜂 （欧版） (En,Fr,De,Es,It)",N64#94,
Buck Bumble (Japan),巴克大黄蜂 （日版）,N64#95,
Buck Bumble (USA),巴克大黄蜂 （美版）,N64#96,
"Bug's Life, A (Europe)",虫虫特工队 （欧版）,N64#97,
"Bug's Life, A (France)",虫虫特工队 （法国版）,N64#98,
