english_name,chinese_name,source_id,extra_json
1552 Tenka Tairan (Japan),1552天下大乱 （日版）,PCECD#1,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD1.jpg""}"
3x3 Eyes - Sanjiyan Henjou (Japan),三只眼 （日版）,PCECD#2,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD2.jpg""}"
3x3 Eyes - Sanjiyan Henjou (Japan) (Rev 1),三只眼 （日版） （修正版 1）,PCECD#3,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD2.jpg""}"
A.III. - A Ressha de Ikou III (Japan),A列车 3 （日版）,PCECD#4,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD4.jpg""}"
"Addams Family, The (USA)",亚当斯一家 （美版）,PCECD#5,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD5.jpg""}"
Advanced V.G. (Japan),少女格斗战 （日版）,PCECD#6,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD6.jpg""}"
Adventure Quiz - Capcom World + Hatena no Daibouken (Japan),卡普空冒险问答 （日版）,PCECD#7,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD7.jpg""}"
Ai Chou Aniki (Japan) (SADS),爱·超兄贵 （日版） (SADS),PCECD#8,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD8.jpg""}"
"Akumajou Dracula X - Chi no Rondo (Japan) (FABT, FACT)","恶魔城X 血之轮回 （日版） (FABT, FACT)",PCECD#9,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD9.jpg""}"
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FAAT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FAAT),PCECD#10,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD10.jpg""}"
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan) (FABT),阿尔拉姆的獠牙 ～獣族十二神徒伝説～ （日版） (FABT),PCECD#11,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD10.jpg""}"
Alshark (Japan),星际怒涛 （日版）,PCECD#12,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD12.jpg""}"
Ane-san (Japan),姐 （日版）,PCECD#13,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD13.jpg""}"
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),元朝秘史 苍狼与白鹿 （日版）,PCECD#14,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD14.jpg""}"
Asuka 120% Maxima - Burning Fest. Maxima (Japan),鸟120%-燃烧的学园祭 （日版）,PCECD#15,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD15.jpg""}"
"Atlas, The - Renaissance Voyager (Japan)",佛罗伦斯航海者 （日版）,PCECD#16,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD16.jpg""}"
Aurora Quest - Otaku no Seiza in Another World (Japan),極光任務 - 遙遠的星座 （日版）,PCECD#17,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD17.jpg""}"
AV Tanjou (Japan) (Unl),AV 诞生 （日版） （非官方版）,PCECD#18,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD18.jpg""}"
AV Tanjou (Japan) (Unl) (Alt 1),AV 诞生 （日版） （非官方版） (Alt 1),PCECD#19,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD18.jpg""}"
AV Tanjou (Japan) (Unl) (Alt 2),AV 诞生 （日版） （非官方版） (Alt 2),PCECD#20,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD18.jpg""}"
Avenger (Japan),复仇者 （日版）,PCECD#21,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD21.jpg""}"
Babel (Japan),通天塔 （日版）,PCECD#22,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD22.jpg""}"
Baby Jo - The Super Hero (Japan),宝贝乔-超级英雄 （日版）,PCECD#23,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD23.jpg""}"
Bakuden - Unbalance Zone (Japan),爆传 不平衡地区 （日版）,PCECD#24,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD24.jpg""}"
Bakushou Yoshimoto Shinkigeki (Japan) (FABT),爆笑吉本新喜劇 （日版） (FABT),PCECD#25,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD25.jpg""}"
Basted (Japan),魔幻密宝 （日版）,PCECD#26,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD26.jpg""}"
Battle Shanghai - Dragon's Eye ~ Shanghai III - Dragon's Eye (Japan),上海3 龙之眼 （日版）,PCECD#27,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD27.jpg""}"
Bazar de Gozarre no Game de Gozarre (Japan),在观众席上的游戏中登场 （日版）,PCECD#28,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD28.jpg""}"
Beyond Shadowgate (USA),暗影之门 （美版）,PCECD#29,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD29.jpg""}"
Bikkuriman Daijikai (Japan),神奇大事界 （日版）,PCECD#30,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD30.jpg""}"
Bishoujo Janshi Idol Pai (Japan) (Unl),美少女雀士偶像派 （日版） （非官方版）,PCECD#31,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD31.jpg""}"
Bishoujo Senshi Sailor Moon (Japan),美少女战士 （日版）,PCECD#32,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD32.jpg""}"
Bishoujo Senshi Sailor Moon Collection (Japan),美少女战士合集 （日版）,PCECD#33,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD33.jpg""}"
Black Hole Assault (Japan),黑洞救援 （日版）,PCECD#34,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD34.jpg""}"
Blood Gear (Japan),血钢齿轮 （日版）,PCECD#35,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD35.jpg""}"
Bomberman '94 (Japan) (Demo),炸弹人94 （日版） （演示版）,PCECD#36,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD36.jpg""}"
Bomberman - Panic Bomber (Japan) (FAAT),炸弹人方块 （日版） (FAAT),PCECD#37,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD37.jpg""}"
Bomberman - Panic Bomber (Japan) (FABT),炸弹人方块 （日版） (FABT),PCECD#38,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD37.jpg""}"
Bonanza Bros. (Japan),神偷拍档 （日版）,PCECD#39,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD39.jpg""}"
Bonk III - Bonk's Big Adventure (USA),PC原人3 邦克的大冒险 （美版）,PCECD#40,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD40.jpg""}"
Brandish (Japan),魔女逗勇者 （日版）,PCECD#41,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD41.jpg""}"
Browning (Japan),布朗宁 （日版）,PCECD#42,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD42.jpg""}"
BuilderLand - The Story of Melba (Japan),建造者之地 梅尔巴的故事 （日版）,PCECD#43,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD43.jpg""}"
Burai - Yatsudama no Yuushi Densetsu (Japan),Burai 八玉勇士伝説 （日版）,PCECD#44,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD44.jpg""}"
Burai II - Yami Koutei no Gyakushuu (Japan),Burai2 闇皇帝的逆襲 （日版）,PCECD#45,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD45.jpg""}"
Buster Bros. (USA),泡泡兄弟 （美版）,PCECD#46,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD46.jpg""}"
CAL II (Japan),,PCECD#47,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD47.jpg""}"
CAL II (Japan) (Alt),,PCECD#48,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD47.jpg""}"
CAL III - Kanketsu-hen (Japan),CAL III 完结篇 （日版）,PCECD#49,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD49.jpg""}"
Camp California (USA),加州营地 （美版）,PCECD#50,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD50.jpg""}"
Campaign Version - Daisenryaku II (Japan),大战略2 （日版）,PCECD#51,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD51.jpg""}"
Cardangels (Japan),卡牌天使 （日版）,PCECD#52,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD52.jpg""}"
CD Battle - Hikari no Yuusha-tachi (Japan),CD 战斗 - 光之勇者们 （日版）,PCECD#53,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD53.jpg""}"
CD Bishoujo Pachinko - Kyuuma Yon Shimai (Japan) (Unl),CD美少女弹子球～球魔四姐妹 （日版） （非官方版）,PCECD#54,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD54.jpg""}"
CD Denjin - Rockabilly Tengoku (Japan),CD电人～乡村摇滚乐天国 （日版）,PCECD#55,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD55.jpg""}"
CD Hanafuda - Bishoujo Fan Club (Japan) (Unl),CD花札 美少女粉丝俱乐部 （日版） （非官方版）,PCECD#56,"{""img"":""https://data.yang2000ling.com/img/pcecd_200/PCECD56.jpg""}"
