english_name,chinese_name,source_id,extra_json
Amateur Teikyou CD-ROM (Japan) (NEC PC-FXGA),アマチュア提供ＣＤ‐ＲＯＭ （日版） (NEC PC-FXGA),PCFX#1,"{""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX.jpg""}"
"Langrisser FX, Der (Japan)",梦幻模拟战2  （日版）,PCFX#2,"{""date"":""1996-04-26"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX2.jpg""}"
Battle Heat (Japan),战斗英雄  （日版）,PCFX#3,"{""date"":""1994-12-26"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX3.jpg""}"
"Sotsugyou II FX - Neo Generation (Japan) (SABS, SACS)","卒业2-新生代  （日版） (SABS, SACS)",PCFX#4,"{""date"":""1994-12-23"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX4.jpg""}"
Doukyuusei 2 (Japan),同级生2  （日版）,PCFX#5,"{""date"":""1996-08-09"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX5.jpg""}"
Dragon Knight 4 (Japan),龙骑士4  （日版）,PCFX#6,"{""date"":""1997-03-28"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX6.jpg""}"
Fire Woman Matoigumi (Japan),火舞女子缠组  （日版）,PCFX#7,"{""date"":""1996-12-20"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX7.jpg""}"
Megami Paradise II (Japan),女神天国2  （日版）,PCFX#8,"{""date"":""1996-07-26"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX8.jpg""}"
Fushigi no Kuni no Angelique (Japan),不可思议之国的安琪莉可  （日版）,PCFX#9,"{""date"":""1996-10-11"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX9.jpg""}"
Farland Story FX (Japan),古大陆物语FX  （日版）,PCFX#10,"{""date"":""1996-11-08"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX10.jpg""}"
Pia Carrot e Youkoso!! We've Been Waiting for You (Japan),恋爱餐厅  （日版）,PCFX#11,"{""date"":""1997-05-23"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX11.jpg""}"
Can Can Bunny Extra DX (Japan),首映日  （日版）,PCFX#12,"{""date"":""1996-09-27"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX12.jpg""}"
AnimeFreak FX Vol. 2 (Japan),动漫美少女大集合 Vol.2  （日版）,PCFX#13,"{""date"":""1995-12-22"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX13.jpg""}"
First Kiss Story (Japan),初吻物语  （日版）,PCFX#14,"{""date"":""1998-04-27"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX14.jpg""}"
Kokuu Hyouryuu - Nirgends (Japan),虚空漂流-尼鲁格恩斯  （日版）,PCFX#15,"{""date"":""1996-06-28"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX15.jpg""}"
J. B. Harold - Blue Chicago Blues (Japan) (Disc 1),蓝色芝加哥  （日版） (Disc 1),PCFX#16,"{""date"":""1996-03-22"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX16.jpg""}"
J. B. Harold - Blue Chicago Blues (Japan) (Disc 2),蓝色芝加哥  （日版） (Disc 2),PCFX#17,"{""date"":""1996-03-22"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX16.jpg""}"
Return to Zork (Japan),重返魔域  （日版）,PCFX#18,"{""date"":""1995-05-27"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX18.jpg""}"
Sparkling Feather (Japan),闪光羽翼  （日版）,PCFX#19,"{""date"":""1997-04-25"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX19.jpg""}"
Super Power League FX (Japan),超级职棒联盟FX  （日版）,PCFX#20,"{""date"":""1996-04-26"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX20.jpg""}"
Voice Paradise (Japan) (Disc A),声优乐园  （日版） (Disc A),PCFX#21,"{""date"":""1996-05-17"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX21.jpg""}"
Voice Paradise (Japan) (Disc B),声优乐园  （日版） (Disc B),PCFX#22,"{""date"":""1996-05-17"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX21.jpg""}"
Wakusei Koukitai - Little Cats (Japan),惑星攻机队-小猫  （日版）,PCFX#23,"{""date"":""1997-07-04"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX23.jpg""}"
Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc I),续初恋物语-修学旅行 （日版） (Disc I),PCFX#24,"{""date"":""1997-06-06"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX24.jpg""}"
Zoku Hatsukoi Monogatari - Shuugaku Ryokou (Japan) (Disc II),续初恋物语-修学旅行 （日版） (Disc II),PCFX#25,"{""date"":""1997-06-06"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX24.jpg""}"
Blue Breaker - Ken yori mo Hohoemi o (Japan),纯爱游侠-剑之微笑  （日版）,PCFX#26,"{""date"":""1996-09-27"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX26.jpg""}"
Same Game FX (Japan) (NEC PC-FXGA),Same Game FX（日版） (NEC PC-FXGA),PCFX#27,"{""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX.jpg""}"
AnimeFreak FX Vol. 1 (Japan),动漫美少女大集合 Vol.1  （日版）,PCFX#28,"{""date"":""1995-08-12"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX28.jpg""}"
AnimeFreak FX Vol. 3 (Japan),动漫美少女大集合 Vol.3  （日版）,PCFX#29,"{""date"":""1996-04-05"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX29.jpg""}"
AnimeFreak FX Vol. 4 (Japan),动漫美少女大集合 Vol.4  （日版）,PCFX#30,"{""date"":""1997-02-28"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX30.jpg""}"
AnimeFreak FX Vol. 5 (Japan) (Disc 1),动漫美少女大集合 Vol.5  （日版） (Disc 1),PCFX#31,"{""date"":""1997-08-29"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX31.jpg""}"
AnimeFreak FX Vol. 5 (Japan) (Disc 2),动漫美少女大集合 Vol.5  （日版） (Disc 2),PCFX#32,"{""date"":""1997-08-29"",""img"":""https://data.yang2000ling.com/img/pcfx_200/PCFX31.jpg""}"
