english_name,chinese_name,source_id,extra_json
Autosport Magazine Presents Grand Prix Special (UK),赛车杂志 国际汽车大奖赛（英国版）,PHOTOCD#1,"{""size"":""489.02MB""}"
Dark Chaser (Japan),黑暗追击者（日版）,PHOTOCD#2,"{""size"":""146.30MB""}"
Dazzling - Hara Kumiko by Tatsuo Watanabe (Japan),ＤＡＺＺＬＩＮＧ／原　久美子（日版）,PHOTOCD#3,"{""size"":""93.11MB""}"
Etsuko Nishio - Finger by Hajime Sawatari (Japan),西尾悦子・フィンガー（日版）,PHOTOCD#4,"{""size"":""123.04MB""}"
"Flowers of Robert Mapplethorpe, The (USA)",罗伯特·梅普尔索普之花（美版）,PHOTOCD#5,"{""size"":""289.25MB""}"
Honoo no On'na Janshi Kyoko Makenai!! Jissen Mondai-shuu (Japan),炎の女雀師京子 負けない！！実践問題集（日版）,PHOTOCD#6,"{""size"":""352.15MB""}"
Inu-ou Chikyuu o Sukuu (Japan),犬王拯救了地球（日版）,PHOTOCD#7,"{""size"":""235.53MB""}"
Kodak Photo CD - Discover Photo CD (USA) (Version 1),柯达Photo CD - 探索Photo CD（美版） (Version 1),PHOTOCD#8,"{""size"":""104.12MB""}"
Langrisser - Seiken Secret File (Japan),梦幻模拟战 - 圣剑秘书（日版）,PHOTOCD#9,"{""size"":""81.42MB""}"
Marilyn Monroe (Germany),德国玛丽莲梦露（德国版）,PHOTOCD#10,"{""size"":""380.93MB""}"
Mars Blade (Japan),火星之刃（日版）,PHOTOCD#11,"{""size"":""233.88MB""}"
Mode-Trends 92-93 Elle (Germany),,PHOTOCD#12,"{""size"":""35.09MB""}"
Mono CD Series Vol. 1 - Zippo Lighter no Sekai - Zippo Collection Manual (Japan),ジッポー・ライターの世界（日版）,PHOTOCD#13,"{""size"":""218.39MB""}"
"Notte Mitai Ressha, Ittemitai Rosen Catalog - Tetsudou no Tabi Vol. 1 - Hokkaido, Touhoku (Japan)",乗ってみたい列車・行ってみたい路線カタログ　鉄道の旅①　「北海道・東北」（日版）,PHOTOCD#14,"{""size"":""367.73MB""}"
"Notte Mitai Ressha, Ittemitai Rosen Catalog - Tetsudou no Tabi Vol. 2 - Kantou, Koushinetsu, Toukai, Hokuriku (Japan)",乗ってみたい列車・行ってみたい路線カタログ　鉄道の旅②　「関東・甲信越・東海・北陸」（日版）,PHOTOCD#15,"{""size"":""390.22MB""}"
Nympheas - La Musique des tableaux celebres (France) (Bundled with [SS] Photo CD Operating System),仙女-名人画的音乐（法国版） (Bundled with [SS] Photo CD Operating System),PHOTOCD#16,"{""size"":""421.40MB""}"
Photo CD Demo Disc (Netherlands),Photo CD试样光碟（荷兰版）,PHOTOCD#17,"{""size"":""240.02MB""}"
Pretty Soldier SailorMoon - Bishoujo Senshi Sailor Moon Vol. 1 - Dark Kingdom-hen (Japan),美少女戦士 黑暗王国編（日版）,PHOTOCD#18,"{""size"":""131.45MB""}"
Pretty Soldier SailorMoon - Bishoujo Senshi Sailor Moon Vol. 2 - Black Moon-hen (Japan),美少女戦士 黑月編（日版）,PHOTOCD#19,"{""size"":""128.31MB""}"
Profile of The Great F1 Driver - Alain Prost - Alain Prost - Professor no Shouzou (Japan),アラン・プロスト　プロフェッサーの肖像（日版）,PHOTOCD#20,"{""size"":""212.98MB""}"
Profile of The Great F1 Driver - Ayrton Senna - Ayrton Senna no Shinjitsu (Japan),アイルトン・セナの真実（日版）,PHOTOCD#21,"{""size"":""155.13MB""}"
Profile of The Great F1 Driver - Nigel Mansell - Nigel Mansell Moeru Jonburu Tamashii (Japan) (2M),ナイジェル・マンセル 燃えるジョンブル魂（日版） (2M),PHOTOCD#22,"{""size"":""223.94MB""}"
Sakura Taisen - Teigeki Secret File (Japan),樱大战　～帝劇シークレット・ファイル～（日版）,PHOTOCD#23,"{""size"":""61.01MB""}"
Shimada Youko - Quatre (Japan),島田陽・子カトル（日版）,PHOTOCD#24,"{""size"":""95.65MB""}"
Steelwood - Private Eye (Japan),私人侦探（日版）,PHOTOCD#25,"{""size"":""166.13MB""}"
