english_name,chinese_name,source_id,extra_json
Ridge Racers,山脊赛车,1,"{""UMD_ID"":""ULJS-00001"",""date"":""2005-05-04"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0001.jpg"",""language"":""日语"",""publisher"":""Namco"",""region"":""日版""}"
Vampire Chronicle - The Chaos Tower,恶魔战士编年史-浑沌之塔,2,"{""UMD_ID"":""ULJM-05005"",""date"":""2005-05-04"",""genre"":""Fighting"",""img"":""https://data.yang2000ling.com/img/psp_200/0002.jpg"",""language"":""日语"",""publisher"":""Capcom"",""region"":""日版""}"
Wipeout Pure,反重力赛车,3,"{""UMD_ID"":""UCUS-98612"",""date"":""2005-05-04"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0003.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Lumines,音乐方块,4,"{""UMD_ID"":""ULUS-10002"",""date"":""2005-05-28"",""genre"":""Puzzle"",""img"":""https://data.yang2000ling.com/img/psp_200/0004.jpg"",""language"":""英文"",""publisher"":""Ubi Soft"",""region"":""美版""}"
Twisted Metal - Head On,扭曲金属赛车-勇往直前,5,"{""UMD_ID"":""UCUS-98601"",""date"":""2005-05-28"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0005.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Smart Bomb,智能炸弹,6,"{""UMD_ID"":""ULUS-10016"",""date"":""2005-05-28"",""genre"":""Puzzle"",""img"":""https://data.yang2000ling.com/img/psp_200/0006.jpg"",""language"":""英文"",""publisher"":""Eidos"",""region"":""美版""}"
Ridge Racer,山脊赛车,7,"{""UMD_ID"":""ULUS-10001"",""date"":""2005-05-28"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0007.jpg"",""language"":""英文"",""publisher"":""Namco"",""region"":""美版""}"
Gretzky NHL,美国职业冰球联盟,8,"{""UMD_ID"":""UCUS-98604"",""date"":""2005-05-28"",""genre"":""Sport"",""img"":""https://data.yang2000ling.com/img/psp_200/0008.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Need for Speed - Underground Rivals,极品飞车-地下狂飙,9,"{""UMD_ID"":""ULJM-05008"",""date"":""2005-05-29"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0009.jpg"",""language"":""日语"",""publisher"":""Electronic Arts"",""region"":""日版""}"
ATV Offroad Fury - Blazin' Trails,沙滩机车赛,10,"{""UMD_ID"":""UCUS-98603"",""date"":""2011-05-14"",""genre"":""Racing"",""img"":""https://data.yang2000ling.com/img/psp_200/0010.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Dynasty Warriors,真三国无双,11,"{""UMD_ID"":""ULUS-10004"",""date"":""2005-06-08"",""genre"":""Action Adventure"",""img"":""https://data.yang2000ling.com/img/psp_200/0011.jpg"",""language"":""英文"",""publisher"":""Koei"",""region"":""美版""}"
NBA,美国职业篮球联赛,12,"{""UMD_ID"":""UCUS-98607"",""date"":""2005-06-08"",""genre"":""Sport"",""img"":""https://data.yang2000ling.com/img/psp_200/0012.jpg"",""language"":""英文"",""publisher"":""Sony"",""region"":""美版""}"
Puzzle Bobble Pocket,泡泡龙 口袋版,13,"{""UMD_ID"":""ULJM-05011"",""date"":""2005-06-08"",""genre"":""Puzzle"",""img"":""https://data.yang2000ling.com/img/psp_200/0013.jpg"",""language"":""日语"",""publisher"":""Taito"",""region"":""日版""}"
