english_name,chinese_name,source_id,extra_json
ModNation Racers: Road Trip,模组世界赛车：街头之旅 [英文版],PCSA00001,"{""dlc_id"":""DLC-MNRV0ADDCONTSE00"",""dlc_name"":""ModNationTM Racers - Road Trip - Unlock All"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK060000000"",""dlc_name"":""80s Sound Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK080000000"",""dlc_name"":""Brass Sound Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK010000000"",""dlc_name"":""Car Mini-Album & Entity Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK120000000"",""dlc_name"":""City Art Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK070000000"",""dlc_name"":""Dubstep Sound Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK130000000"",""dlc_name"":""Future Funk 3000 Sound Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK150000000"",""dlc_name"":""Hohokum Art Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK140000000"",""dlc_name"":""Lizzywanders Art Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK090000000"",""dlc_name"":""Nature Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK100000000"",""dlc_name"":""Old School Sound Pack"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK020000000"",""dlc_name"":""Sound ShapesTM"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK030000000"",""dlc_name"":""Sound ShapesTM"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK040000000"",""dlc_name"":""Sound ShapesTM"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK050000000"",""dlc_name"":""Sound ShapesTM"",""region"":""USA""}"
Sound Shapes,声与形 [英文版],PCSA00003,"{""dlc_id"":""DLC-DLCPACK110000000"",""dlc_name"":""Vocoder Sound Pack"",""region"":""USA""}"
Escape Plan,逃脱计划 [英文版],PCSA00004,"{""dlc_id"":""DLC-ESCAPEPLANDLC004"",""dlc_name"":""Escape PlanTM - Director's Cut"",""region"":""USA""}"
Escape Plan,逃脱计划 [英文版],PCSA00004,"{""dlc_id"":""DLC-ESCAPEPLANDLC002"",""dlc_name"":""Escape PlanTM - The Asylum"",""region"":""USA""}"
Escape Plan,逃脱计划 [英文版],PCSA00004,"{""dlc_id"":""DLC-ESCAPEPLANDLC003"",""dlc_name"":""Escape PlanTM - The Underground"",""region"":""USA""}"
Super Stardust Delta,超级星尘 三角洲 [英文版],PCSA00006,"{""dlc_id"":""DLC-SSDELTA000000DLC"",""dlc_name"":""Super Stardust Delta DLC"",""region"":""USA""}"
Hustle Kings,台球王 [英文版],PCSA00007,"{""dlc_id"":""DLC-UHUSTLEKINDLC001"",""dlc_name"":""Hustle KingsTM"",""region"":""USA""}"
Hustle Kings,台球王 [英文版],PCSA00007,"{""dlc_id"":""DLC-UHUSTLEKINDLC002"",""dlc_name"":""Hustle KingsTM"",""region"":""USA""}"
Hustle Kings,台球王 [英文版],PCSA00007,"{""dlc_id"":""DLC-UHUSTLEKINDLC003"",""dlc_name"":""Hustle KingsTM"",""region"":""USA""}"
Hot Shots Golf: World Invitational,大众高尔夫 6 [英文版],PCSA00009,"{""dlc_id"":""DLC-5555000000020124"",""dlc_name"":""Club Big Magnum Level 5"",""region"":""USA""}"
Gravity Rush,重力眩晕 [英文版],PCSA00011,"{""dlc_id"":""DLC-PDUSAC00MAIDPACK"",""dlc_name"":""GRAVITY RUSHTM Maid Pack"",""region"":""USA""}"
Gravity Rush,重力眩晕 [英文版],PCSA00011,"{""dlc_id"":""DLC-PDUSAC00ARMYPACK"",""dlc_name"":""GRAVITY RUSHTM Special Forces Pack"",""region"":""USA""}"
Gravity Rush,重力眩晕 [英文版],PCSA00011,"{""dlc_id"":""DLC-PDUSAC000SPYPACK"",""dlc_name"":""GRAVITY RUSHTM Spy Pack"",""region"":""USA""}"
