serial,name,region
BJBJ,007 - Everything or Nothing (Japan),Japan
BJBE,"007 - Everything or Nothing (USA, Europe) (En,Fr,De)",USA
A7OE,"007 - NightFire (USA, Europe) (En,Fr,De)",USA
BFBP,"2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding (Europe) (En,Fr,De,Es,It)",Europe
BLQP,"2 Disney Games - Lilo & Stitch 2 + Peter Pan - Return to Neverland (Europe) (En,Fr,De,Es+En,Fr,De,Es,It,Nl)",Europe
BQJE,"2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race (USA, Europe)",USA
BB4P,"2 Game Pack! - Matchbox Missions - Emergency Response & Air, Land and Sea Rescue (Europe) (En,Fr,De,Es,It)",Europe
BB4E,"2 Game Pack! - Matchbox Missions - Emergency Response + Air, Land and Sea Rescue (USA)",USA
BUQP,"2 Game Pack! - Uno & Skip-Bo (Europe) (En,Fr,De,Es,It)",Europe
BUQE,2 Game Pack! - Uno + Skip-Bo (USA),USA
BINY,"2 Games in 1 - Alla Ricerca di Nemo + Gli Incredibili - Una 'Normale' Famiglia di Supereroi (Italy) (Es,It+It)",Italy
BL5P,"2 Games in 1 - Bionicle + Knights' Kingdom (Europe) (En,Fr,De,Da+En,De)",Europe
BLBX,"2 Games in 1 - Brother Bear + The Lion King (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)",Europe
BINZ,"2 Games in 1 - Buscando a Nemo + Los Increibles (Spain) (Es,It+Es)",Spain
BW2E,2 Games in 1 - Cartoon Network Block Party + Cartoon Network Speedway (USA),USA
BW9P,"2 Games in 1 - Columns Crown + ChuChu Rocket! (Europe) (En+En,Ja,Fr,De,Es)",Europe
BDZD,2 Games in 1 - Die Monster AG + Findet Nemo (Germany),Germany
BLPS,"2 Games in 1 - Disney Princesas + El Rey Leon (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)",Spain
BWBS,"2 Games in 1 - Disney Princesas + Hermano Oso (Spain) (Es+En,Fr,De,Es,It,Nl,Sv,Da)",Spain
BLDS,2 Games in 1 - Disney Princesas + Lizzie McGuire (Spain),Spain
BWBP,"2 Games in 1 - Disney Princess + Brother Bear (Europe) (En+En,Fr,De,Es,It,Nl,Sv,Da)",Europe
BLDP,2 Games in 1 - Disney Princess + Lizzie McGuire (Europe),Europe
BWBF,"2 Games in 1 - Disney Princesse + Frere des Ours (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",France
BLPF,"2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)",France
