serial,name,region
T-48073-00,007 Shitou - The Duel (Japan) (En),Japan
MK-1281,10 Super Jogos (Brazil) (En),Brazil
00054503-00,16t (Japan) (Game no Kanzume Otokuyou),Japan
00054503-00,16t (Japan) (Sega Game Toshokan),Japan
T-106273-00,2020 Nen Super Baseball (Japan),Japan
00000000-00,3 Block Match (World),World
00000000-00,3 Block Match (World) (v1.1),World
T-113076-00,3 Ninjas Kick Back (USA),USA
00000000-00,30 Years of Nintendon't (World),World
00000000-00,30 Years of Nintendon't (World) (Digital),World
MK-1717-00,6-Pak (USA),USA
MK-1401-00,"688 Attack Sub (USA, Europe)",USA
00000000-00,99 Balls (World),World
G-4532-00,A Ressha de Ikou MD (Japan),Japan
00000000-00,AA6061 (World),World
MK-1234-50,ATP Tour (Europe),Europe
MK-1234-00,ATP Tour Championship Tennis (USA),USA
MK-1224-00,ATP Tour Championship Tennis (USA) (Beta 1),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 2),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 3),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 4),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 5),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 6),USA
MK-1234-00,ATP Tour Championship Tennis (USA) (Beta 7),USA
G-4086-1.00,Aa Harimanada (Japan),Japan
T139066-50,Aaahh!!! Real Monsters (Europe),Europe
T139066-00,Aaahh!!! Real Monsters (USA),USA
00000000-00,Aaahh!!! Real Monsters (USA) (Beta),USA
LGM-01-0-v1.00,"Abbaye des Morts, L' (World) (Beta)",World
00000000-00,Abyssal Infants (World) (Proto 1) (4MB Jam),World
00000000-00,Abyssal Infants (World) (Proto 2),World
00000000-00,Abyssal Infants (World) (Proto 3),World
TECTOY-2005-01,Academia do Saber (Brazil) (Mega Drive 4),Brazil
T-00000-00,Action 52 (USA),USA
00000000-00,Addam (World),World
T-164046-00,"Addams Family Values (Europe) (En,Fr,De)",Europe
T-XXXXXX-XX,Addams Family Values (USA) (Proto),USA
T-081236-00,"Addams Family, The (USA, Europe)",USA
????????-??,"Addams Family, The (USA, Europe) (Beta)",USA
T-25123-00,Advanced Busterhawk Gley Lancer (Japan),Japan
00000000-00,Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Beta),Japan
00005505-01,Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),Japan
MK-1535-00,"Adventures of Batman & Robin, The (Europe)",Europe
MK-1535-00,"Adventures of Batman & Robin, The (USA)",USA
MK-0000-00,"Adventures of Batman & Robin, The (USA) (Beta 1)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 10)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 11)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 12)",USA
MK-0000-00,"Adventures of Batman & Robin, The (USA) (Beta 2)",USA
MK-0000-00,"Adventures of Batman & Robin, The (USA) (Beta 3)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 4)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 5)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 6)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 7)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 8)",USA
MK-1535-00,"Adventures of Batman & Robin, The (USA) (Beta 9)",USA
T-164056-00,"Adventures of Mighty Max, The (Europe)",Europe
T-164056-00,"Adventures of Mighty Max, The (USA)",USA
T-86056-00,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",USA
00000000-00,"Adventures of the Gummi Bears, The (Russia)",Russia
T-33013-00,Aero Blasters (Japan) (En),Japan
T-15056-50,Aero the Acro-Bat (Europe),Europe
T-15056-50,Aero the Acro-Bat (Europe) (Sample),Europe
T-15056-00,Aero the Acro-Bat (USA),USA
T-15166-50,Aero the Acro-Bat 2 (Europe),Europe
T-15166-00,Aero the Acro-Bat 2 (USA),USA
T-76046-10,Aerobiz (USA),USA
T-76136-00,Aerobiz Supersonic (USA),USA
T-17013-00,After Burner II (Japan) (En),Japan
MK-1104-00,"After Burner II (USA, Europe)",USA
G-3051,Ah Q Lianhuan Pao (Taiwan),Taiwan
T-33026-00,Air Buster (USA),USA
T-20023-00,Air Diver (Japan) (En),Japan
T-35026-00,Air Diver (USA),USA
00000000-00,Air Hockey (Brazil) (Mega Drive 4),Brazil
GM-00000000-00,Air Hockey (Europe) (Sega Reactor),Europe
T-76083-20,Air Management - Oozora ni Kakeru (Japan),Japan
T-76143-00,Air Management II - Koukuuou o Mezase (Japan),Japan
00000000-00,Akal (World) (Proto),World
XXXXXXXX-XX,Akira (USA) (Proto),USA
ACLD012-00,"Al Michaels Announces HardBall III (USA, Europe)",USA
TOOL000,Al Unser Jr.'s Road to the Top (USA) (Proto),USA
MK-1058-00,Aladdin (Europe),Europe
G-4111-00,Aladdin (Japan),Japan
MK-1058-00,Aladdin (USA),USA
T-70196-00,Aladdin (USA) (Beta 1),USA
MK-1058-00,Aladdin (USA) (Beta 2),USA
MK-1058-00,Aladdin (USA) (Beta 3),USA
MK-1058-00,Aladdin (USA) (Final Cut),USA
00054004-02,Alex Kidd - Cheongong Maseong (Korea),Korea
00054004-00,Alex Kidd - Tenkuu Majou (Japan),Japan
00054004-02,Alex Kidd in the Enchanted Castle (Europe),Europe
00054004-01,Alex Kidd in the Enchanted Castle (USA),USA
00054004-01,Alex Kidd in the Enchanted Castle (USA) (Sega Channel),USA
T-000000-00,Alfred Chicken (USA) (Proto),USA
T-081096-00,"Alien 3 (USA, Europe)",USA
T--81096-01,"Alien 3 (USA, Europe) (Rev A)",USA
00000000-00,Alien Cat 2 (World) (Evercade),World
00000000-00,Alien Cat 2 (World) (v1.1),World
00000000-00,Alien Cat 2 (World) (v1.2) (itch.io),World
MK-01186-00,Alien Soldier (Europe),Europe
G-004130-00,Alien Soldier (Japan),Japan
MK-01186-00,Alien Soldier (USA) (Virtual Console),USA
MK-01186-00,"Alien Soldier (USA, Europe) (Switch Online)",USA
00001121-00,Alien Storm (World),World
00001121-00,Alien Storm (World) (SEGA Classic Collection),World
T-45033-00,Alisia Dragoon (Europe),Europe
T-45033-00,Alisia Dragoon (Japan),Japan
T-45033-00,Alisia Dragoon (Japan) (Mega Drive Mini),Japan
T-45033-00,Alisia Dragoon (USA),USA
T-45033-00,Alisia Dragoon (USA) (Genesis Mini),USA
50936396-00,Alligator Game (World),World
00000000-00,AlterEgo - Dreamwalker (World) (Evercade),World
00054002-01,"Altered Beast (Japan, USA) (En) (Rev 1)",Japan
00054002-01,"Altered Beast (Japan, USA) (En) (Sega 3D Classics)",Japan
