serial,name,region
NO7P,"007 - The World Is Not Enough (Europe) (En,Fr,De)",Europe
NO7P,"007 - The World Is Not Enough (Europe) (En,Fr,De)",Europe
NO7E,"007 - The World Is Not Enough (Europe) (En,Fr,De) (Beta)",Europe
NO7E,"007 - The World Is Not Enough (Europe) (En,Fr,De) (Beta)",Europe
NO7E,007 - The World Is Not Enough (USA),USA
NO7E,007 - The World Is Not Enough (USA),USA
NM4E,007 - The World Is Not Enough (USA) (Beta 1),USA
NM4E,007 - The World Is Not Enough (USA) (Beta 1),USA
NO7E,007 - The World Is Not Enough (USA) (Beta 2),USA
NO7E,007 - The World Is Not Enough (USA) (Beta 2),USA
NTEP,"1080 Snowboarding (Europe) (En,Ja,Fr,De)",Europe
NTEP,"1080 Snowboarding (Europe) (En,Ja,Fr,De)",Europe
NTEA,"1080 Snowboarding (Japan, USA) (En,Ja)",Japan
NTEA,"1080 Snowboarding (Japan, USA) (En,Ja)",Japan
N4WX,"40 Winks (Europe) (En,Es,It) (Proto)",Europe
N4WX,"40 Winks (Europe) (En,Es,It) (Proto)",Europe
N4WZ,"40 Winks (Europe) (En,Fr,Es) (Piko Interactive)",Europe
N4WZ,"40 Winks (Europe) (En,Fr,Es) (Piko Interactive)",Europe
N4WE,40 Winks (USA) (Piko Interactive),USA
N4WE,40 Winks (USA) (Piko Interactive),USA
N4WZ,40 Winks (USA) (Proto),USA
N4WZ,40 Winks (USA) (Proto),USA
NHFJ,64 Hanafuda - Tenshi no Yakusoku (Japan),Japan
NHFJ,64 Hanafuda - Tenshi no Yakusoku (Japan),Japan
NOSJ,64 Oozumou (Japan),Japan
NOSJ,64 Oozumou (Japan),Japan
NO2J,64 Oozumou 2 (Japan),Japan
NO2J,64 Oozumou 2 (Japan),Japan
NTCJ,64 Trump Collection - Alice no Wakuwaku Trump World (Japan),Japan
NTCJ,64 Trump Collection - Alice no Wakuwaku Trump World (Japan),Japan
NTWJ,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),Japan
NTWJ,64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),Japan
NS3J,AI Shougi 3 (Japan),Japan
NS3J,AI Shougi 3 (Japan),Japan
NSAP,"AeroFighters Assault (Europe) (En,Fr,De)",Europe
NSAP,"AeroFighters Assault (Europe) (En,Fr,De)",Europe
NERE,AeroFighters Assault (USA),USA
NERE,AeroFighters Assault (USA),USA
NAGP,"AeroGauge (Europe) (En,Fr,De)",Europe
NAGP,"AeroGauge (Europe) (En,Fr,De)",Europe
NAGJ,AeroGauge (Japan) (Rev 1),Japan
NAGJ,AeroGauge (Japan) (Rev 1),Japan
NAGE,AeroGauge (USA),USA
NAGE,AeroGauge (USA),USA
NAYP,Aidyn Chronicles - The First Mage (Europe),Europe
NAYP,Aidyn Chronicles - The First Mage (Europe),Europe
NAYP,Aidyn Chronicles - The First Mage (Europe) (Beta),Europe
NAYP,Aidyn Chronicles - The First Mage (Europe) (Beta),Europe
NAYP,Aidyn Chronicles - The First Mage (Europe) (Beta),Europe
NAYP,Aidyn Chronicles - The First Mage (Europe) (Beta),Europe
NAYE,Aidyn Chronicles - The First Mage (USA),USA
NAYE,Aidyn Chronicles - The First Mage (USA),USA
NAYE,Aidyn Chronicles - The First Mage (USA) (Rev 1),USA
NAYE,Aidyn Chronicles - The First Mage (USA) (Rev 1),USA
NABJ,Air Boarder 64 (Japan),Japan
NABJ,Air Boarder 64 (Japan),Japan
NABP,Airboarder 64 (Europe),Europe
NABP,Airboarder 64 (Europe),Europe
ND3J,Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),Japan
ND3J,Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),Japan
ND4J,Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),Japan
ND4J,Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),Japan
NTNP,"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",Europe
NTNP,"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",Europe
NTNE,All Star Tennis 99 (USA),USA
NTNE,All Star Tennis 99 (USA),USA
NBEP,All-Star Baseball 2000 (Europe),Europe
NBEP,All-Star Baseball 2000 (Europe),Europe
NBEE,All-Star Baseball 2000 (USA),USA
NBEE,All-Star Baseball 2000 (USA),USA
NASE,All-Star Baseball 2001 (USA),USA
NASE,All-Star Baseball 2001 (USA),USA
NBSP,All-Star Baseball 99 (Europe),Europe
NBSP,All-Star Baseball 99 (Europe),Europe
NBSE,All-Star Baseball 99 (USA),USA
NBSE,All-Star Baseball 99 (USA),USA
NARP,Armorines - Project S.W.A.R.M. (Europe),Europe
NARP,Armorines - Project S.W.A.R.M. (Europe),Europe
NARD,Armorines - Project S.W.A.R.M. (Germany),Germany
NARD,Armorines - Project S.W.A.R.M. (Germany),Germany
NARE,Armorines - Project S.W.A.R.M. (USA),USA
NARE,Armorines - Project S.W.A.R.M. (USA),USA
NACE,Army Men - Air Combat (USA),USA
NACE,Army Men - Air Combat (USA),USA
NAMP,"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",Europe
NAMP,"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",Europe
NAME,Army Men - Sarge's Heroes (USA),USA
NAME,Army Men - Sarge's Heroes (USA),USA
N32E,Army Men - Sarge's Heroes 2 (USA),USA
N32E,Army Men - Sarge's Heroes 2 (USA),USA
NAHE,Asteroids Hyper 64 (USA),USA
NAHE,Asteroids Hyper 64 (USA),USA
NLCP,Automobili Lamborghini (Europe),Europe
NLCP,Automobili Lamborghini (Europe),Europe
NLCE,Automobili Lamborghini (USA),USA
NLCE,Automobili Lamborghini (USA),USA
NBMJ,Baku Bomberman (Japan),Japan
NBMJ,Baku Bomberman (Japan),Japan
NBVJ,Baku Bomberman 2 (Japan),Japan
NBVJ,Baku Bomberman 2 (Japan),Japan
NBNJ,Bakuretsu Muteki Bangaioh (Japan),Japan
NBNJ,Bakuretsu Muteki Bangaioh (Japan),Japan
NBJJ,Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),Japan
NBJJ,Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),Japan
NBKJ,Banjo to Kazooie no Daibouken (Japan),Japan
NBKJ,Banjo to Kazooie no Daibouken (Japan),Japan
NB7J,Banjo to Kazooie no Daibouken 2 (Japan),Japan
NB7J,Banjo to Kazooie no Daibouken 2 (Japan),Japan
NBKP,"Banjo-Kazooie (Europe) (En,Fr,De)",Europe
NBKP,"Banjo-Kazooie (Europe) (En,Fr,De)",Europe
NBKE,Banjo-Kazooie (USA),USA
NBKE,Banjo-Kazooie (USA),USA
NBKE,Banjo-Kazooie (USA) (Rev 1),USA
NBKE,Banjo-Kazooie (USA) (Rev 1),USA
NB7U,Banjo-Tooie (Australia),Australia
NB7U,Banjo-Tooie (Australia),Australia
NB7P,"Banjo-Tooie (Europe) (En,Fr,De,Es)",Europe
NB7P,"Banjo-Tooie (Europe) (En,Fr,De,Es)",Europe
NB7E,Banjo-Tooie (USA),USA
NB7E,Banjo-Tooie (USA),USA
NVBJ,Bass Rush - ECOGEAR PowerWorm Championship (Japan),Japan
NVBJ,Bass Rush - ECOGEAR PowerWorm Championship (Japan),Japan
NB4E,Bassmasters 2000 (USA),USA
NB4E,Bassmasters 2000 (USA),USA
!none!,Bassmasters 2000 (USA) (Beta),USA
NJQE,Batman Beyond - Return of the Joker (USA),USA
NJQE,Batman Beyond - Return of the Joker (USA),USA
NJQP,"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",Europe
NJQP,"Batman of the Future - Return of the Joker (Europe) (En,Fr,De)",Europe
NBXE,BattleTanx (USA),USA
NBXE,BattleTanx (USA),USA
NBQP,"BattleTanx - Global Assault (Europe) (En,Fr,De)",Europe
NBQP,"BattleTanx - Global Assault (Europe) (En,Fr,De)",Europe
NBQE,BattleTanx - Global Assault (USA),USA
NBQE,BattleTanx - Global Assault (USA),USA
NZOE,Battlezone - Rise of the Black Dogs (USA),USA
NZOE,Battlezone - Rise of the Black Dogs (USA),USA
NNSP,"Beetle Adventure Racing! (Europe) (En,Fr,De)",Europe
NNSP,"Beetle Adventure Racing! (Europe) (En,Fr,De)",Europe
NB8J,Beetle Adventure Racing! (Japan),Japan
NB8J,Beetle Adventure Racing! (Japan),Japan
NNSE,"Beetle Adventure Racing! (USA) (En,Fr,De)",USA
NNSE,"Beetle Adventure Racing! (USA) (En,Fr,De)",USA
NMUE,Big Mountain 2000 (USA),USA
NMUE,Big Mountain 2000 (USA),USA
NBFP,Bio F.R.E.A.K.S. (Europe),Europe
NBFP,Bio F.R.E.A.K.S. (Europe),Europe
NBFE,Bio F.R.E.A.K.S. (USA),USA
NBFE,Bio F.R.E.A.K.S. (USA),USA
NB5J,Biohazard 2 (Japan),Japan
NB5J,Biohazard 2 (Japan),Japan
NBCP,"Blast Corps (Europe) (En,De)",Europe
NBCP,"Blast Corps (Europe) (En,De)",Europe
NBCE,Blast Corps (USA),USA
NBCE,Blast Corps (USA),USA
NBCE,Blast Corps (USA) (Rev 1),USA
NBCE,Blast Corps (USA) (Rev 1),USA
NBCJ,Blastdozer (Japan),Japan
NBCJ,Blastdozer (Japan),Japan
NBPP,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)",Europe
NBPP,"Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)",Europe
NBPE,Blues Brothers 2000 (USA),USA
NBPE,Blues Brothers 2000 (USA),USA
NBHP,"Body Harvest (Europe) (En,Fr,De)",Europe
NBHP,"Body Harvest (Europe) (En,Fr,De)",Europe
NBHE,Body Harvest (USA),USA
NBHE,Body Harvest (USA),USA
NYWJ,Bokujou Monogatari 2 (Japan),Japan
NYWJ,Bokujou Monogatari 2 (Japan),Japan
NYWJ,Bokujou Monogatari 2 (Japan) (Rev 1),Japan
NYWJ,Bokujou Monogatari 2 (Japan) (Rev 1),Japan
NYWJ,Bokujou Monogatari 2 (Japan) (Rev 2),Japan
NYWJ,Bokujou Monogatari 2 (Japan) (Rev 2),Japan
NBMP,Bomberman 64 (Europe),Europe
NBMP,Bomberman 64 (Europe),Europe
NBME,Bomberman 64 (USA),USA
NBME,Bomberman 64 (USA),USA
NBVE,Bomberman 64 - The Second Attack! (USA),USA
NBVE,Bomberman 64 - The Second Attack! (USA),USA
NBDP,Bomberman Hero (Europe),Europe
NBDP,Bomberman Hero (Europe),Europe
NBDE,Bomberman Hero (USA),USA
NBDE,Bomberman Hero (USA),USA
NBDJ,Bomberman Hero - Mirian Oujo o Sukue! (Japan),Japan
NBDJ,Bomberman Hero - Mirian Oujo o Sukue! (Japan),Japan
NBOE,Bottom of the 9th (USA),USA
NBOE,Bottom of the 9th (USA),USA
NOWE,Brunswick Circuit Pro Bowling (USA),USA
NOWE,Brunswick Circuit Pro Bowling (USA),USA
NBLP,"Buck Bumble (Europe) (En,Fr,De,Es,It)",Europe
NBLP,"Buck Bumble (Europe) (En,Fr,De,Es,It)",Europe
NBLJ,Buck Bumble (Japan),Japan
NBLJ,Buck Bumble (Japan),Japan
NBLE,Buck Bumble (USA),USA
NBLE,Buck Bumble (USA),USA
NBYP,"Bug's Life, A (Europe)",Europe
NBYP,"Bug's Life, A (Europe)",Europe
NBYF,"Bug's Life, A (France)",France
NBYF,"Bug's Life, A (France)",France
NBYD,"Bug's Life, A (Germany)",Germany
NBYD,"Bug's Life, A (Germany)",Germany
NBYI,"Bug's Life, A (Italy)",Italy
NBYI,"Bug's Life, A (Italy)",Italy
NBYE,"Bug's Life, A (USA)",USA
NBYE,"Bug's Life, A (USA)",USA
NB3E,Bust-A-Move '99 (USA),USA
NB3E,Bust-A-Move '99 (USA),USA
NBUP,Bust-A-Move 2 - Arcade Edition (Europe),Europe
NBUP,Bust-A-Move 2 - Arcade Edition (Europe),Europe
NBUE,Bust-A-Move 2 - Arcade Edition (USA),USA
NBUE,Bust-A-Move 2 - Arcade Edition (USA),USA
NB3P,Bust-A-Move 3 DX (Europe),Europe
NB3P,Bust-A-Move 3 DX (Europe),Europe
NB3E,Bust-A-Move 3 DX (USA) (Beta),USA
NB3E,Bust-A-Move 3 DX (USA) (Beta),USA
NCLP,"California Speed (Europe) (En,Fr,De,Es,It) (Proto)",Europe
NCLP,"California Speed (Europe) (En,Fr,De,Es,It) (Proto)",Europe
NCLE,California Speed (USA),USA
NCLE,California Speed (USA),USA
NCDX,"Carmageddon 64 (Europe) (En,Fr,De,Es)",Europe
NCDX,"Carmageddon 64 (Europe) (En,Fr,De,Es)",Europe
NCDY,"Carmageddon 64 (Europe) (En,Fr,Es,It)",Europe
NCDY,"Carmageddon 64 (Europe) (En,Fr,Es,It)",Europe
NCDE,Carmageddon 64 (USA),USA
NCDE,Carmageddon 64 (USA),USA
ND3P,"Castlevania (Europe) (En,Fr,De)",Europe
ND3P,"Castlevania (Europe) (En,Fr,De)",Europe
ND3E,Castlevania (USA),USA
ND3E,Castlevania (USA),USA
ND3E,Castlevania (USA) (Rev 1),USA
ND3E,Castlevania (USA) (Rev 1),USA
ND3E,Castlevania (USA) (Rev 2),USA
ND3E,Castlevania (USA) (Rev 2),USA
ND4P,"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",Europe
ND4P,"Castlevania - Legacy of Darkness (Europe) (En,Fr,De)",Europe
ND4E,Castlevania - Legacy of Darkness (USA),USA
ND4E,Castlevania - Legacy of Darkness (USA),USA
NTSP,Centre Court Tennis (Europe),Europe
NTSP,Centre Court Tennis (Europe),Europe
NCTP,Chameleon Twist (Europe),Europe
NCTP,Chameleon Twist (Europe),Europe
NCTJ,Chameleon Twist (Japan),Japan
NCTJ,Chameleon Twist (Japan),Japan
NCTE,Chameleon Twist (USA),USA
NCTE,Chameleon Twist (USA),USA
NCTE,Chameleon Twist (USA) (Rev 1),USA
NCTE,Chameleon Twist (USA) (Rev 1),USA
N2VP,Chameleon Twist 2 (Europe),Europe
N2VP,Chameleon Twist 2 (Europe),Europe
NV2J,Chameleon Twist 2 (Japan),Japan
NV2J,Chameleon Twist 2 (Japan),Japan
N2VE,Chameleon Twist 2 (USA),USA
N2VE,Chameleon Twist 2 (USA),USA
NCBP,Charlie Blast's Territory (Europe),Europe
NCBP,Charlie Blast's Territory (Europe),Europe
NCBE,Charlie Blast's Territory (USA),USA
NCBE,Charlie Blast's Territory (USA),USA
NCBE,Charlie Blast's Territory (USA) (Beta),USA
NCBE,Charlie Blast's Territory (USA) (Beta),USA
NCHP,Chopper Attack (Europe),Europe
NCHP,Chopper Attack (Europe),Europe
NCHE,Chopper Attack (USA),USA
NCHE,Chopper Attack (USA),USA
NCRJ,Choro Q 64 (Japan),Japan
NCRJ,Choro Q 64 (Japan),Japan
NCGJ,Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),Japan
NCGJ,Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan),Japan
NPKJ,Chou Kuukan Nighter Pro Yakyuu King (Japan),Japan
NPKJ,Chou Kuukan Nighter Pro Yakyuu King (Japan),Japan
NP2J,Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),Japan
NP2J,Chou Kuukan Nighter Pro Yakyuu King 2 (Japan),Japan
NK2J,Chou Snobo Kids (Japan),Japan
NK2J,Chou Snobo Kids (Japan),Japan
NGTJ,City-Tour GP - Zen-Nihon GT Senshuken (Japan),Japan
NGTJ,City-Tour GP - Zen-Nihon GT Senshuken (Japan),Japan
NC2E,Clay Fighter - Sculptor's Cut (USA),USA
NC2E,Clay Fighter - Sculptor's Cut (USA),USA
NCFP,Clay Fighter 63 1-3 (Europe),Europe
NCFP,Clay Fighter 63 1-3 (Europe),Europe
NCFE,Clay Fighter 63 1-3 (USA),USA
NCFE,Clay Fighter 63 1-3 (USA),USA
NCFE,Clay Fighter 63 1-3 (USA) (Beta),USA
NCFE,Clay Fighter 63 1-3 (USA) (Beta),USA
NCCP,"Command & Conquer (Europe) (En,Fr)",Europe
NCCP,"Command & Conquer (Europe) (En,Fr)",Europe
NCCD,Command & Conquer (Germany),Germany
NCCD,Command & Conquer (Germany),Germany
NCCE,Command & Conquer (USA),USA
NCCE,Command & Conquer (USA),USA
NFUP,Conker's Bad Fur Day (Europe),Europe
NFUP,Conker's Bad Fur Day (Europe),Europe
NFUE,Conker's Bad Fur Day (USA),USA
NFUE,Conker's Bad Fur Day (USA),USA
NFUE,Conker's Bad Fur Day (USA) (Beta) (ECTS 2000),USA
NFUE,Conker's Bad Fur Day (USA) (Beta) (ECTS 2000),USA
NFUE,Conker's Bad Fur Day (USA) (Beta),USA
NFUE,Conker's Bad Fur Day (USA) (Beta),USA
NXOE,Cruis'n Exotica (USA),USA
NXOE,Cruis'n Exotica (USA),USA
NCUP,Cruis'n USA (Europe),Europe
NCUP,Cruis'n USA (Europe),Europe
NCUE,Cruis'n USA (USA),USA
NCUE,Cruis'n USA (USA),USA
NCUE,Cruis'n USA (USA) (Rev 1),USA
NCUE,Cruis'n USA (USA) (Rev 1),USA
NCUE,Cruis'n USA (USA) (Rev 2),USA
NCUE,Cruis'n USA (USA) (Rev 2),USA
NCUE,Cruis'n USA (USA) (Wii Virtual Console),USA
NCUE,Cruis'n USA (USA) (Wii Virtual Console),USA
NCWP,Cruis'n World (Europe),Europe
NCWP,Cruis'n World (Europe),Europe
NCWP,Cruis'n World (Europe) (Rev 1),Europe
NCWP,Cruis'n World (Europe) (Rev 1),Europe
NCWE,Cruis'n World (USA),USA
NCWE,Cruis'n World (USA),USA
NCXJ,Custom Robo (Japan),Japan
NCXJ,Custom Robo (Japan),Japan
NCZJ,Custom Robo V2 (Japan),Japan
NCZJ,Custom Robo V2 (Japan),Japan
NCZJ,Custom Robo V2 (Japan) (Beta) (Debug),Japan
NCZJ,Custom Robo V2 (Japan) (Beta) (Debug),Japan
NT4P,CyberTiger (Europe),Europe
NT4P,CyberTiger (Europe),Europe
NT4E,CyberTiger (USA),USA
NT4E,CyberTiger (USA),USA
NDUP,"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)",Europe
NDUP,"Daffy Duck Starring as Duck Dodgers (Europe) (En,Fr,De,Es,It,Nl)",Europe
NDFJ,Dance Dance Revolution - Disney Dancing Museum (Japan),Japan
NDFJ,Dance Dance Revolution - Disney Dancing Museum (Japan),Japan
NDKP,Dark Rift (Europe),Europe
NDKP,Dark Rift (Europe),Europe
NDKE,Dark Rift (USA),USA
NDKE,Dark Rift (USA),USA
NGAE,Deadly Arts (USA),USA
NGAE,Deadly Arts (USA),USA
NMTF,Defi au Tetris Magique (France),France
NMTF,Defi au Tetris Magique (France),France
ND6J,Densha de Go! 64 (Japan),Japan
ND6J,Densha de Go! 64 (Japan),Japan
NDAJ,Derby Stallion 64 (Japan),Japan
NDAJ,Derby Stallion 64 (Japan),Japan
NDEP,"Destruction Derby 64 (Europe) (En,Fr,De)",Europe
NDEP,"Destruction Derby 64 (Europe) (En,Fr,De)",Europe
NDEE,Destruction Derby 64 (USA),USA
NDEE,Destruction Derby 64 (USA),USA
CDZJ,Dezaemon 3D (Japan),Japan
CDZJ,Dezaemon 3D (Japan),Japan
NDYP,"Diddy Kong Racing (Europe) (En,Fr,De)",Europe
NDYP,"Diddy Kong Racing (Europe) (En,Fr,De)",Europe
NDYP,"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)",Europe
NDYP,"Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)",Europe
NDYJ,Diddy Kong Racing (Japan),Japan
NDYJ,Diddy Kong Racing (Japan),Japan
NDYE,"Diddy Kong Racing (USA) (En,Fr)",USA
NDYE,"Diddy Kong Racing (USA) (En,Fr)",USA
NDYE,"Diddy Kong Racing (USA) (En,Fr) (Rev 1)",USA
NDYE,"Diddy Kong Racing (USA) (En,Fr) (Rev 1)",USA
NDPE,Dinosaur Planet (USA) (Proto),USA
NDPE,Dinosaur Planet (USA) (Proto),USA
NDQE,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)",USA
NDQE,"Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)",USA
NDQP,"Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)",Europe
NDOP,"Donkey Kong 64 (Europe) (En,Fr,De,Es)",Europe
NDOP,"Donkey Kong 64 (Europe) (En,Fr,De,Es)",Europe
NDOJ,Donkey Kong 64 (Japan),Japan
NDOJ,Donkey Kong 64 (Japan),Japan
NDOE,Donkey Kong 64 (USA),USA
NDOE,Donkey Kong 64 (USA),USA
NDMP,Doom 64 (Europe),Europe
NDMP,Doom 64 (Europe),Europe
NDMJ,Doom 64 (Japan),Japan
NDMJ,Doom 64 (Japan),Japan
NDME,Doom 64 (USA),USA
NDME,Doom 64 (USA),USA
NDME,Doom 64 (USA) (Rev 1),USA
NDME,Doom 64 (USA) (Rev 1),USA
NDRJ,Doraemon - Nobita to 3tsu no Seireiseki (Japan),Japan
NDRJ,Doraemon - Nobita to 3tsu no Seireiseki (Japan),Japan
ND2J,Doraemon 2 - Nobita to Hikari no Shinden (Japan),Japan
ND2J,Doraemon 2 - Nobita to Hikari no Shinden (Japan),Japan
N3DJ,Doraemon 3 - Nobita no Machi SOS! (Japan),Japan
N3DJ,Doraemon 3 - Nobita no Machi SOS! (Japan),Japan
NAFJ,Doubutsu no Mori (Japan),Japan
NAFJ,Doubutsu no Mori (Japan),Japan
NN6E,Dr. Mario 64 (USA),USA
NN6E,Dr. Mario 64 (USA),USA
MGVP,Dragon Sword 64 (Europe) (Proto),Europe
MGVP,Dragon Sword 64 (Europe) (Proto),Europe
NDHP,Dual Heroes (Europe),Europe
NDHP,Dual Heroes (Europe),Europe
NDHJ,Dual Heroes (Japan),Japan
NDHJ,Dual Heroes (Japan),Japan
NDHE,Dual Heroes (USA),USA
NDHE,Dual Heroes (USA),USA
NDUE,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)",USA
NDUE,"Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)",USA
NDZP,Duke Nukem - Zero Hour (Europe),Europe
NDZP,Duke Nukem - Zero Hour (Europe),Europe
NDZF,Duke Nukem - Zero Hour (France),France
NDZF,Duke Nukem - Zero Hour (France),France
NDZE,Duke Nukem - Zero Hour (USA),USA
NDZE,Duke Nukem - Zero Hour (USA),USA
NDZE,Duke Nukem - Zero Hour (USA) (Beta),USA
NDZE,Duke Nukem - Zero Hour (USA) (Beta),USA
NDNP,Duke Nukem 64 (Europe),Europe
NDNP,Duke Nukem 64 (Europe),Europe
NMSE,Duke Nukem 64 (Europe) (Beta),Europe
NMSE,Duke Nukem 64 (Europe) (Beta),Europe
NDNF,Duke Nukem 64 (France),France
NDNF,Duke Nukem 64 (France),France
NDNE,Duke Nukem 64 (USA),USA
NDNE,Duke Nukem 64 (USA),USA
NWIP,ECW Hardcore Revolution (Europe),Europe
NWIP,ECW Hardcore Revolution (Europe),Europe
NWID,ECW Hardcore Revolution (Germany),Germany
