serial,name,region
SHVC-AY2J-JPN,'96 Zenkoku Koukou Soccer Senshuken (Japan),Japan
SHVC-SA,2020 Super Baseball (Japan),Japan
SNS-SA,2020 Super Baseball (USA),USA
SNS-A3NE-USA,3 Ninjas Kick Back (USA),USA
SHVC-ABZJ-JPN,3-jigen Kakutou Ballz (Japan),Japan
SHVC-A83J-JPN,3x3 Eyes - Juuma Houkan (Japan),Japan
SHVC-33,3x3 Eyes - Seima Kourinden (Japan),Japan
SHVC-AYSJ-JPN,4-nin Shougi (Japan),Japan
SHVC-46,46 Okunen Monogatari - Harukanaru Eden e (Japan),Japan
SNS-EL,"7th Saga, The (USA)",USA
SNSP-AJ3P,90 Minutes - European Prime Goal (Europe),Europe
SNS-4A-USA,A.S.P. - Air Strike Patrol (USA),USA
SHVC-N5-JPN,ABC Monday Night Football (Japan),Japan
SNS-N5,ABC Monday Night Football (USA),USA
SNSP-ACMP-EUR,ACME Animation Factory (Europe),Europe
SNS-ACME-USA,ACME Animation Factory (USA),USA
SHVC-ATGJ-JPN,AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan),Japan
SNSP-ANNP-EUR,Aaahh!!! Real Monsters (Europe),Europe
SNS-ANNE-USA,Aaahh!!! Real Monsters (USA),USA
SHVC-AY,Accele Brid (Japan),Japan
SHVC-EE,Ace o Nerae! (Japan),Japan
SHVC-2T,Acrobat Mission (Japan),Japan
SNSP-AR,ActRaiser (Europe),Europe
SNSP-AR,ActRaiser (France),
SNSP-AR,ActRaiser (Germany),
SNS-P-AR,ActRaiser (USA),USA
SNS-P-AR,ActRaiser (USA) (Arcade),USA
SNS-A8-USA,ActRaiser 2 (USA),USA
SHVC-A8-JPN,ActRaiser 2 - Chinmoku e no Seisen (Japan),Japan
SHVC-PE,Action Pachio (Japan),Japan
SHVC-AR,Actraiser (Japan),Japan
SNSP-A8-EUR,"Actraiser 2 (Europe) (En,Fr,De)",Europe
SNSP-VY,"Addams Family Values (Europe) (En,Fr,De)",Europe
SNS-VY,"Addams Family Values (USA) (En,Fr,De)",USA
SNSP-AF,"Addams Family, The (Europe) (En,Fr,De)",Europe
SHVC-AF,"Addams Family, The (Japan)",Japan
SNS-AF,"Addams Family, The (USA)",USA
SNS-AF,"Addams Family, The (USA) (Arcade)",USA
SNSP-AH,"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",Europe
SNS-AH-USA,"Addams Family, The - Pugsley's Scavenger Hunt (USA)",USA
SNS-IB,Advanced Dungeons & Dragons - Eye of the Beholder (USA),USA
SNSP-ABTP-EUR,"Adventures of Batman & Robin, The (Europe)",Europe
SNS-ABTE-USA,"Adventures of Batman & Robin, The (USA)",USA
SNSP-6F,"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",Europe
SNS-6F,"Adventures of Dr. Franken, The (USA)",USA
SNS-YK,"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",USA
SNSP-AMOP-EUR,"Adventures of Mighty Max, The (Europe)",Europe
SNS-RZ-USA,"Adventures of Rocky and Bullwinkle and Friends, The (USA)",USA
SNS-Y8-USA,Adventures of Yogi Bear (USA),USA
SHVC-RK,"Adventures of the Rocketeer, The (Japan)",Japan
SNS-AERE-USA,Aero Fighters (USA),USA
SNSP-XB,Aero the Acro-Bat (Europe),Europe
SNS-XB-USA,Aero the Acro-Bat (USA),USA
SNSP-AE2P-EUR,Aero the Acro-Bat 2 (Europe),Europe
SNS-AE2E-USA,Aero the Acro-Bat 2 (USA),USA
SNS-AL,Aerobiz (USA),USA
SNS-AG-USA,Aerobiz Supersonic (USA),USA
SNSP-GF,Aguri Suzuki F-1 Super Driving (Europe),Europe
SNSP-ACCP-EUR,Air Cavalry (Europe),Europe
SNS-ACCE-USA,Air Cavalry (USA),USA
SHVC-AL,Air Management - Oozora ni Kakeru (Japan),Japan
SHVC-AL,Air Management - Oozora ni Kakeru (Japan) (Rev 1),Japan
SHVC-AG,Air Management II - Koukuu Ou o Mezase (Japan),Japan
SHVC-AAMJ-JPN,Akagawa Jirou - Majotachi no Nemuri (Japan),Japan
SHVC-AAMJ-JPN,Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP),Japan
SHVC-ACJJ-JPN,Akazukin Chacha (Japan),Japan
SHVC-AD,Akumajou Dracula (Japan),Japan
SHVC-ADZJ-JPN,Akumajou Dracula XX (Japan),Japan
SNS-AUJE-USA,Al Unser Jr.'s Road to the Top (USA),USA
SNSP-RJ,Aladdin (Europe),Europe
SNSP-RJ,Aladdin (France),
SNSP-RJ,Aladdin (Germany),
SHVC-RJ,Aladdin (Japan),Japan
SNSP-RJ,Aladdin (Spain),
SNS-RJ-USA,Aladdin (USA),USA
SHVC-AO,Albert Odyssey (Japan),Japan
SHVC-AO2J-JPN,Albert Odyssey 2 - Jashin no Taidou (Japan),Japan
SHVC-LX,Alcahest (Japan),Japan
SNSP-8A,Alfred Chicken (Europe),Europe
SHVC-AALJ-JPN,Alice no Paint Adventure (Japan),Japan
SNSP-A3,Alien 3 (Europe),Europe
SHVC-A3-JPN,Alien 3 (Japan),Japan
SNS-A3-USA,Alien 3 (USA),USA
SNSP-AP,Alien vs Predator (Europe),Europe
SNS-AP-USA,Alien vs Predator (USA),USA
SHVC-AP-JPN,Aliens vs. Predator (Japan),Japan
SNSP-LU,All-American Championship Football (Europe),Europe
SHVC-ASPJ-JPN,"Amazing Spider-Man, The - Lethal Foes (Japan)",Japan
SHVC-UQ,America Oudan Ultra Quiz (Japan),Japan
SHVC-A5BJ-JPN,American Battle Dome (Japan),Japan
SNS-AA-USA,American Gladiators (USA),USA
SNSP-9W,"American Tail, An - Fievel Goes West (Europe)",Europe
SNS-9W,"American Tail, An - Fievel Goes West (USA)",USA
SHVC-NY-JPN,Andre Agassi Tennis (Japan),Japan
SNS-7A,Andre Agassi Tennis (USA),USA
SHVC-QE,Angelique (Japan),Japan
SHVC-QE,Angelique (Japan) (Premium Box),Japan
SHVC-ABLJ-JPN,Animal Buranden - Brutal (Japan),Japan
SNSP-ANCP-EUR,Animaniacs (Europe),Europe
SHVC-ANCJ-JPN,Animaniacs (Japan),Japan
SNS-ANCE-USA,Animaniacs (USA),USA
SNSP-TW,Another World (Europe),Europe
SHVC-A3KJ-JPN,Aoki Densetsu Shoot! (Japan),Japan
SHVC-7X,Appleseed - Prometheus no Shintaku (Japan),Japan
SHVC-AQ-JPN,Aqutallion (Japan),Japan
SHVC-AAJJ-JPN,Arabian Nights - Sabaku no Seirei Ou (Japan),Japan
SHVC-R9,Araiguma Rascal (Japan),Japan
SNSP-AW7P-EUR,Arcade's Greatest Hits - The Atari Collection 1 (Europe),Europe
SNS-AW7E-USA,Arcade's Greatest Hits - The Atari Collection 1 (USA),USA
SNS-RF-USA,Arcana (USA),USA
SNSP-ASDP-EUR,Archer Maclean's Super Dropzone (Europe),Europe
SHVC-A4,Arcus Spirits (Japan),Japan
SNSP-A9,Ardy Lightfoot (Europe),Europe
SHVC-A9,Ardy Lightfoot (Japan),Japan
SNS-A9,Ardy Lightfoot (USA),USA
SHVC-E8,Area 88 (Japan),Japan
SHVC-YJ,Aretha (Japan),Japan
SHVC-AREJ-JPN,Aretha II - Ariel no Fushigi na Tabi (Japan),Japan
SNSP-A6,Arkanoid - Doh It Again (Europe),Europe
SHVC-A6,Arkanoid - Doh It Again (Japan),Japan
SNS-A6-USA,Arkanoid - Doh It Again (USA),USA
SNSP-RW,Art of Fighting (Europe),Europe
SNS-RW,Art of Fighting (USA),USA
